编号,食品分类,最大使用量,备注
06.2.1,面粉,5,000 mg/kg,注释186,注释XS152
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,2,500 mg/kg,注释427
01.7,乳基甜点（如布丁、水果或调味酸乳）,5,000 mg/kg,注释355
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,5,000 mg/kg,注释432
07.1.3,其他普通焙烤制品（如百吉饼、皮塔饼、英式松饼等）,5,000 mg/kg
10.2.2,冷冻蛋制品,500 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,5,000 mg/kg,注释XS309R
05.3,口香糖,2,000 mg/kg
10.2.3,干制和/或热凝固的蛋制品,5,000 mg/kg
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,5,000 mg/kg,注释76
01.6.5,干酪类似产品,2,000 mg/kg
06.4.2,干面制品、面条及其类似产品,5,000 mg/kg,注释211
08.2.2,整块或分割的热处理加工的畜、禽肉和野味,2,000 mg/kg,注释XS97,注释373,注释XS96
06.3,早餐谷物，包括燕麦片,5,000 mg/kg
04.1.2.9,果基甜点，包括水基果味甜点,5,000 mg/kg
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,3,000 mg/kg
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,2,000 mg/kg,注释XS314R,注释XS240
10.2.1,液体蛋制品,500 mg/kg
08.3.2,热处理的加工碎畜、禽肉和野味制品,2,000 mg/kg,注释XS88,注释XS89,注释XS98
13.3,特殊医疗用途食品（不包括13.1类）,2,000 mg/kg
13.4,瘦身和减肥配方食品,2,000 mg/kg
01.4.4,稀奶油类似产品,5,000 mg/kg,注释2
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,5,000 mg/kg
04.1.2.11,糕饼的水果馅料,2,000 mg/kg
02.4,脂基甜点，不包括01.7类乳基甜点制品,5,000 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,10,000 mg/kg
07.1.1.2,苏打面包,3,000 mg/kg
07.1.2,薄脆饼干，不包括甜的薄脆饼干,3,000 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,2,000 mg/kg
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,6,000 mg/kg
14.2.6,酒精含量高于15%的蒸馏酒饮料,8,000 mg/kg,注释430
07.1.1.1,酵母发酵面包和特制面包,3,000 mg/kg,注释388
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,2,500 mg/kg,注释XS306R
07.1.6,面包和普通焙烤制品预拌粉,5,000 mg/kg
07.1.4,面包类制品，包括面包馅和面包屑,5,000 mg/kg
06.4.3,预制面制品、面条及其类似产品,5,000 mg/kg,注释371,注释194
01.1.4,风味液态乳饮料,1,000 mg/kg
03.0,食用冰，包括冰冻果子露和果汁冰糕,5,000 mg/kg,注释15
01.3.2,饮料增白剂,3,000 mg/kg,注释XS250,注释XS252
07.1.5,馒头和包子,3,000 mg/kg
