编号,食品分类,最大使用量,备注
01.7,乳基甜点（如布丁、水果或调味酸乳）,100 mg/kg,注释477
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释144,注释XS94,注释XS37,注释XS70,注释XS90,注释XS3,注释XS119
11.4,其他糖和糖浆（如，木糖，枫糖浆和糖的顶饰）,300 mg/kg,注释159
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,80 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,500 mg/kg,注释XS309R,注释163,注释477
09.3.4,半保藏的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物（如鱼酱），不包括09.3.1-09.3.3类,160 mg/kg,注释144
15.0,即食小食品,100 mg/kg
12.9.1,发酵大豆酱（例如，味噌）,200 mg/kg
04.1.2.10,发酵水果制品,160 mg/kg,注释477
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,200 mg/kg,注释144
12.9.2.1,发酵酱油,500 mg/kg
05.3,口香糖,2,500 mg/kg,注释477
05.1.4,可可和巧克力制品,500 mg/kg,注释477
05.1.3,可可涂抹物，包括馅料,200 mg/kg,注释XS86,注释477
05.1.2,可可混合物（浆）,80 mg/kg,注释477
05.1.1,可可混合物（粉）和可可块/可可饼,100 mg/kg,注释161,注释97,注释XS141
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,200 mg/kg,注释160
04.2.2.2,干制蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,500 mg/kg,注释348,注释144
06.3,早餐谷物，包括燕麦片,100 mg/kg,注释477
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,200 mg/kg,注释477
04.1.2.9,果基甜点，包括水基果味甜点,100 mg/kg,注释477
04.1.2.5,果酱、果冻、柑橘果酱,200 mg/kg,注释477
14.1.3.1,水果浆,80 mg/kg
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,200 mg/kg,注释477
12.6,沙司及其类似产品,160 mg/kg,注释XS302
12.7,沙拉（如通心粉沙拉，土豆沙拉）和三明治涂抹物，不包括04.2.2.5和05.1.3中的可可制品和坚果的涂抹物,200 mg/kg,注释166,注释477
14.1.3.3,浓缩水果浆,80 mg/kg,注释127
14.1.4.3,浓缩（液体或固体）水基调味饮料,300 mg/kg,注释161,注释127
09.3.1,浸制的和/或胶冻的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,160 mg/kg,注释144
12.5,清汤和浓汤,110 mg/kg,注释XS117,注释477
09.2.4.1,烹调的鱼和鱼制品,500 mg/kg,注释477,注释322
04.2.2.8,熟制或油炸的蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,160 mg/kg,注释345,注释144,注释477
13.3,特殊医疗用途食品（不包括13.1类）,200 mg/kg
13.5,特殊膳食食品（如特殊膳食用补充食品），不包括13.1 -13.4和13.6类,200 mg/kg
13.4,瘦身和减肥配方食品,300 mg/kg
09.3.2,盐渍和/或盐水渍的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,160 mg/kg,注释144
14.1.4.1,碳酸水基调味饮料,300 mg/kg,注释161
05.1.5,类巧克力、代巧克力制品,500 mg/kg,注释477
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,170 mg/kg,注释165
04.1.2.4,罐装或瓶装（巴氏杀菌）水果,200 mg/kg,注释XS319,注释477
04.2.2.4,罐装或瓶装（经巴氏杀菌的）或杀菌袋装蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,160 mg/kg,注释144,注释477
02.4,脂基甜点，不包括01.7类乳基甜点制品,100 mg/kg,注释477
12.4,芥末,320 mg/kg
14.1.3.2,蔬菜浆,80 mg/kg,注释477
04.2.2.5,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的泥及涂抹酱（如花生酱）,160 mg/kg,注释477
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,200 mg/kg,注释477
10.4,蛋基甜点（如蛋奶甜羹）,100 mg/kg,注释144
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,500 mg/kg,注释477
12.2.2,调味料和调味品,1,500 mg/kg,注释161
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,100 mg/kg,注释477
12.3,醋,300 mg/kg
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,160 mg/kg,注释144
04.1.2.3,醋、油或盐水渍水果,160 mg/kg,注释144
14.1.4.2,非碳酸水基调味饮料，包括潘趣酒和果汁饮料,300 mg/kg,注释161
01.1.4,风味液态乳饮料,80 mg/kg,注释406,注释477
13.6,食品补充剂,1,200 mg/kg
03.0,食用冰，包括冰冻果子露和果汁冰糕,100 mg/kg,注释477
11.6,餐桌甜味料，包括含有高浓度甜味剂的产品,良好生产规范
