编号,食品分类,最大使用量,备注
01.5.1,乳粉和稀奶油粉（原味）,10 mg/kg
04.2.2.1,冷冻蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果和籽类,10 mg/kg,注释15
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,10 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,10 mg/kg,注释XS309R
04.1.2.10,发酵水果制品,10 mg/kg
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,10 mg/kg
05.3,口香糖,100 mg/kg
14.2.1,啤酒和麦芽饮料,10 mg/kg
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,10 mg/kg
04.1.2.9,果基甜点，包括水基果味甜点,110 mg/kg
04.1.2.5,果酱、果冻、柑橘果酱,30 mg/kg
02.1.2,植物油脂,10 mg/kg,注释XS33,注释524,注释511
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,20 mg/kg
12.5,清汤和浓汤,10 mg/kg
13.3,特殊医疗用途食品（不包括13.1类）,50 mg/kg
13.5,特殊膳食食品（如特殊膳食用补充食品），不包括13.1 -13.4和13.6类,50 mg/kg
02.1.3,猪油、牛油、鱼油和其他动物脂肪,10 mg/kg,注释XS211,注释523
13.4,瘦身和减肥配方食品,50 mg/kg
05.1.5,类巧克力、代巧克力制品,10 mg/kg
04.1.2.4,罐装或瓶装（巴氏杀菌）水果,10 mg/kg,注释266
04.2.2.4,罐装或瓶装（经巴氏杀菌的）或杀菌袋装蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,10 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,10 mg/kg,注释152
14.2.2,苹果酒和梨酒,10 mg/kg
04.2.2.5,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的泥及涂抹酱（如花生酱）,10 mg/kg
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,50 mg/kg
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,10 mg/kg
04.1.2.3,醋、油或盐水渍水果,10 mg/kg
06.6,面糊（如用于鱼或禽肉用的裹粉或面糊）,10 mg/kg
06.4.3,预制面制品、面条及其类似产品,50 mg/kg,注释153
13.6,食品补充剂,50 mg/kg
