编号,食品分类,最大使用量,备注
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,3,000 mg/kg
01.7,乳基甜点（如布丁、水果或调味酸乳）,3,000 mg/kg
01.5.2,乳粉和稀奶油粉类似产品,4,000 mg/kg,注释XS251
07.1.3,其他普通焙烤制品（如百吉饼、皮塔饼、英式松饼等）,3,000 mg/kg,注释11
01.4.3,凝固稀奶油（原味）,1,000 mg/kg
08.3,加工的碎畜、禽肉和野味制品,5,000 mg/kg,注释XS89,注释XS98,注释XS88
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,120 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,1,000 mg/kg,注释XS309R
05.3,口香糖,5,000 mg/kg
05.1.4,可可和巧克力制品,5,000 mg/kg,注释101
05.1.3,可可涂抹物，包括馅料,1,000 mg/kg,注释XS86
05.1.2,可可混合物（浆）,500 mg/kg
08.4,可食用肠衣（如香肠肠衣）,1,500 mg/kg
01.4.1,巴氏杀菌稀奶油（原味）,1,000 mg/kg
06.4.2,干面制品、面条及其类似产品,5,000 mg/kg
08.2,整块或分割的加工畜、禽肉和野味,5,000 mg/kg,注释XS96,注释XS97
04.1.2.9,果基甜点，包括水基果味甜点,3,000 mg/kg
02.1.2,植物油脂,5,000 mg/kg,注释XS19,注释XS33,注释102,注释XS210
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,5,000 mg/kg,注释102
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,500 mg/kg,注释127
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,1,000 mg/kg,注释154
12.6.3,沙司和卤汁的混合物,5,000 mg/kg,注释127
12.7,沙拉（如通心粉沙拉，土豆沙拉）和三明治涂抹物，不包括04.2.2.5和05.1.3中的可可制品和坚果的涂抹物,2,000 mg/kg
12.5,清汤和浓汤,1,000 mg/kg
01.4.2,灭菌和超高温灭菌（UHT）的稀奶油，搅打和搅打的稀奶油，和低脂稀奶油（原味）,1,000 mg/kg
13.3,特殊医疗用途食品（不包括13.1类）,1,000 mg/kg
02.1.3,猪油、牛油、鱼油和其他动物脂肪,5,000 mg/kg,注释XS19,注释102,注释XS211
13.4,瘦身和减肥配方食品,1,000 mg/kg
12.1.1,盐,10 mg/kg
01.4.4,稀奶油类似产品,5,000 mg/kg
05.1.5,类巧克力、代巧克力制品,5,000 mg/kg
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,3,000 mg/kg
04.1.2.11,糕饼的水果馅料,3,000 mg/kg
02.4,脂基甜点，不包括01.7类乳基甜点制品,3,000 mg/kg,注释102
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,10,000 mg/kg,注释360,注释364
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,3,000 mg/kg
07.1.2,薄脆饼干，不包括甜的薄脆饼干,5,000 mg/kg,注释11
10.4,蛋基甜点（如蛋奶甜羹）,3,000 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,3,000 mg/kg
12.2.2,调味料和调味品,5,000 mg/kg
12.6.4,调味清汁（如鱼露）,5,000 mg/kg,注释XS302
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,3,000 mg/kg
14.2.6,酒精含量高于15%的蒸馏酒饮料,120 mg/kg
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,5,000 mg/kg
01.6.1,非熟化干酪,80 mg/kg,注释XS273,注释XS275,注释38,注释XS221
07.1.6,面包和普通焙烤制品预拌粉,3,000 mg/kg,注释11
07.1.1,面包和面包卷,3,000 mg/kg
07.1.4,面包类制品，包括面包馅和面包屑,3,000 mg/kg,注释11
06.6,面糊（如用于鱼或禽肉用的裹粉或面糊）,5,000 mg/kg,注释2
06.4.3,预制面制品、面条及其类似产品,5,000 mg/kg,注释153
01.1.4,风味液态乳饮料,3,000 mg/kg
13.6,食品补充剂,25,000 mg/kg
03.0,食用冰，包括冰冻果子露和果汁冰糕,1,000 mg/kg
01.3.2,饮料增白剂,4,000 mg/kg,注释XS250,注释XS252
07.1.5,馒头和包子,3,000 mg/kg,注释11
12.2.1,香草和香辛料,2,000 mg/kg,注释XS328,注释XS327,注释XS326
