编号,食品分类,最大使用量,备注
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,5,000 mg/kg
01.7,乳基甜点（如布丁、水果或调味酸乳）,5,000 mg/kg,注释XS243,注释354
01.5.2,乳粉和稀奶油粉类似产品,5,000 mg/kg,注释XS251
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,2,000 mg/kg
07.1.3,其他普通焙烤制品（如百吉饼、皮塔饼、英式松饼等）,6,000 mg/kg
07.2.2,其他精制焙烤制品（如炸面圈饼、甜面包圈、烤饼和松饼）,10,000 mg/kg
01.1.2,其它液态乳（原味）,1,000 mg/kg,注释410
01.6.4,再制干酪,5,000 mg/kg
09.2.1,冷冻的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,5,000 mg/kg,注释241
01.4.3,凝固稀奶油（原味）,6,000 mg/kg
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,20 mg/kg
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,2,000 mg/kg,注释367,注释XS309R
12.5.1,即食清汤和浓汤，包括罐装，瓶装和冷冻制品,400 mg/kg,注释XS117
05.3,口香糖,5,000 mg/kg
05.1.1,可可混合物（粉）和可可块/可可饼,5,000 mg/kg,注释97,注释XS141
08.4,可食用肠衣（如香肠肠衣）,5,000 mg/kg,注释365
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,5,000 mg/kg,注释127
01.4.1,巴氏杀菌稀奶油（原味）,6,000 mg/kg
01.6.5,干酪类似产品,5,000 mg/kg
06.3,早餐谷物，包括燕麦片,10,000 mg/kg,注释369
04.1.2.9,果基甜点，包括水基果味甜点,5,000 mg/kg
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,20,000 mg/kg,注释363
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,5,000 mg/kg,注释127
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,5,000 mg/kg,注释XS240,注释XS314R
12.6.3,沙司和卤汁的混合物,5,000 mg/kg,注释127
09.2.4.3,油炸的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,5,000 mg/kg,注释41
09.3.1,浸制的和/或胶冻的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,1,000 mg/kg,注释414
12.5.2,清汤和浓汤的混合物,3,000 mg/kg,注释XS117,注释127
01.4.2,灭菌和超高温灭菌（UHT）的稀奶油，搅打和搅打的稀奶油，和低脂稀奶油（原味）,6,000 mg/kg
09.2.4.1,烹调的鱼和鱼制品,1,000 mg/kg,注释412
13.3,特殊医疗用途食品（不包括13.1类）,1,000 mg/kg
13.4,瘦身和减肥配方食品,1,000 mg/kg
09.3.2,盐渍和/或盐水渍的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,1,000 mg/kg,注释415
01.4.4,稀奶油类似产品,8,000 mg/kg
05.1.5,类巧克力、代巧克力制品,2,000 mg/kg,注释366
07.2.3,精制焙烤制品预拌粉（如蛋糕、薄烤饼）,16,000 mg/kg,注释451
04.1.2.11,糕饼的水果馅料,2,000 mg/kg
02.4,脂基甜点，不包括01.7类乳基甜点制品,2,000 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,5,000 mg/kg,注释359
07.1.2,薄脆饼干，不包括甜的薄脆饼干,6,000 mg/kg
10.2,蛋制品,1,000 mg/kg
10.4,蛋基甜点（如蛋奶甜羹）,6,000 mg/kg
07.2.1,蛋糕、饼干和派（如：填充水果或奶油的类型）,10,000 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,2,000 mg/kg,注释368
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,9,000 mg/kg
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,5,000 mg/kg,注释XS306R
07.1.6,面包和普通焙烤制品预拌粉,15,000 mg/kg,注释11
07.1.1,面包和面包卷,10,000 mg/kg,注释372
07.1.4,面包类制品，包括面包馅和面包屑,10,000 mg/kg
06.4.3,预制面制品、面条及其类似产品,2,000 mg/kg,注释194
01.1.4,风味液态乳饮料,2,000 mg/kg
13.6,食品补充剂,18,000 mg/kg
03.0,食用冰，包括冰冻果子露和果汁冰糕,5,000 mg/kg
01.3.2,饮料增白剂,5,000 mg/kg,注释XS252,注释XS250,注释352
07.1.5,馒头和包子,10,000 mg/kg
