编号,食品分类,最大使用量,备注
09.3.3,三文鱼替代品，鱼子酱及其他鱼子制品,1,500 mg/kg,注释XS291
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,300 mg/kg,注释181
01.7,乳基甜点（如布丁、水果或调味酸乳）,200 mg/kg,注释181
01.5.2,乳粉和稀奶油粉类似产品,150 mg/kg,注释181,注释201,注释XS251
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,500 mg/kg,注释181
15.3,以鱼为原料的零食,400 mg/kg
09.4,全保藏的鱼和鱼制品，包括罐装或发酵的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,1,500 mg/kg,注释XS37,注释XS70,注释XS90,注释XS3,注释XS119,注释XS94,注释16
09.2.3,冷冻切碎的加稀奶油的鱼糜制品，包括软体动物，甲壳类和棘皮类动物,良好生产规范,注释95,注释16
09.2.2,冷冻拖面糊的鱼，鱼片，和鱼制品，包括软体动物，甲壳类和棘皮类动物,500 mg/kg,注释XS166,注释16
15.2,加工坚果，包括有涂层的坚果和坚果混合物（如与干制水果混合）,300 mg/kg,注释181
08.3,加工的碎畜、禽肉和野味制品,5,000 mg/kg,注释XS88,注释XS98,注释16,注释XS89
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,300 mg/kg,注释181
09.3.4,半保藏的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物（如鱼酱），不包括09.3.1-09.3.3类,1,500 mg/kg,注释16
04.1.2.10,发酵水果制品,500 mg/kg,注释181,注释161
04.2.2.7,发酵蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻制品，不包括食品类别06.8.6、06.8.7、12.9.1、12.9.2.1和12.9.2.3中的发酵豆制品,100 mg/kg,注释181,注释161
05.3,口香糖,500 mg/kg,注释181
05.1.4,可可和巧克力制品,200 mg/kg,注释181,注释183
05.1.3,可可涂抹物，包括馅料,200 mg/kg,注释181,注释XS86
08.4,可食用肠衣（如香肠肠衣）,5,000 mg/kg
01.6.5,干酪类似产品,1,000 mg/kg
08.2,整块或分割的加工畜、禽肉和野味,5,000 mg/kg,注释XS97,注释XS96,注释16
06.3,早餐谷物，包括燕麦片,200 mg/kg
04.1.2.6,果基涂抹物（如印度酸辣酱），不包括04.1.2.5类的食品,500 mg/kg,注释181,注释161
04.1.2.9,果基甜点，包括水基果味甜点,500 mg/kg,注释181,注释161
14.2.4,果酒（不包括葡萄）,300 mg/kg,注释181
04.1.2.5,果酱、果冻、柑橘果酱,500 mg/kg,注释181,注释161
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,300 mg/kg,注释181
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,500 mg/kg,注释181,注释182,注释179
12.6.3,沙司和卤汁的混合物,300 mg/kg,注释181
12.7,沙拉（如通心粉沙拉，土豆沙拉）和三明治涂抹物，不包括04.2.2.5和05.1.3中的可可制品和坚果的涂抹物,1,500 mg/kg
09.2.4.3,油炸的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,1,000 mg/kg,注释95,注释16
09.3.1,浸制的和/或胶冻的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,500 mg/kg,注释16
12.5,清汤和浓汤,500 mg/kg,注释181,注释XS117
09.2.4.2,烹调的软体动物，甲壳类和棘皮类动物,1,000 mg/kg
09.2.4.1,烹调的鱼和鱼制品,500 mg/kg,注释95
01.6.2.2,熟化干酪壳,1,000 mg/kg
13.3,特殊医疗用途食品（不包括13.1类）,250 mg/kg,注释181
13.5,特殊膳食食品（如特殊膳食用补充食品），不包括13.1 -13.4和13.6类,250 mg/kg,注释181
13.4,瘦身和减肥配方食品,250 mg/kg,注释181
09.3.2,盐渍和/或盐水渍的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,1,500 mg/kg,注释16
