编号,食品分类,最大使用量,备注
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,2,000 mg/kg,注释426
01.7,乳基甜点（如布丁、水果或调味酸乳）,5,000 mg/kg
01.5.2,乳粉和稀奶油粉类似产品,5,000 mg/kg,注释350,注释XS251
01.5.1,乳粉和稀奶油粉（原味）,10,000 mg/kg,注释XS207,注释536,注释XS290
15.1,以土豆、谷物、面粉或淀粉（来自块根，豆类）为原料的零食,5,000 mg/kg,注释433
01.1.2,其它液态乳（原味）,1,000 mg/kg,注释410
01.6.4,再制干酪,3,000 mg/kg
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,5,000 mg/kg,注释536
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,5,000 mg/kg,注释XS309R
05.3,口香糖,12,000 mg/kg
05.1.3,可可涂抹物，包括馅料,10,000 mg/kg,注释XS86
05.1.2,可可混合物（浆）,10,000 mg/kg
05.1.1,可可混合物（粉）和可可块/可可饼,10,000 mg/kg,注释XS141,注释97
14.1.5,咖啡，咖啡替代品，茶，香草饮料和其他热的谷物饮料，不包括可可,1,000 mg/kg,注释176
01.6.5,干酪类似产品,10,000 mg/kg
06.4.2,干面制品、面条及其类似产品,4,000 mg/kg,注释211
08.2.2,整块或分割的热处理加工的畜、禽肉和野味,5,000 mg/kg,注释XS96,注释XS97,注释15
06.3,早餐谷物，包括燕麦片,10,000 mg/kg
04.1.2.9,果基甜点，包括水基果味甜点,5,000 mg/kg
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,5,000 mg/kg,注释102,注释363
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,200 mg/kg,注释219
04.1.2.8,水果预制品，包括果浆、果泥、水果顶饰和椰奶,1,500 mg/kg,注释XS314R
12.6.3,沙司和卤汁的混合物,10,000 mg/kg,注释127
12.5,清汤和浓汤,2,000 mg/kg
01.4.2,灭菌和超高温灭菌（UHT）的稀奶油，搅打和搅打的稀奶油，和低脂稀奶油（原味）,5,000 mg/kg
08.3.2,热处理的加工碎畜、禽肉和野味制品,5,000 mg/kg,注释XS88,注释XS98,注释XS89,注释373,注释15
09.2.4.1,烹调的鱼和鱼制品,4,500 mg/kg,注释241
13.3,特殊医疗用途食品（不包括13.1类）,5,000 mg/kg
06.4.1,生面制品、面条及其类似产品,2,000 mg/kg,注释370
13.4,瘦身和减肥配方食品,5,000 mg/kg
01.4.4,稀奶油类似产品,10,000 mg/kg
05.1.5,类巧克力、代巧克力制品,6,000 mg/kg
07.2,精制焙烤制品（甜的、咸的、美味的）及其混合物,10,000 mg/kg
04.1.1.2,经表面处理的新鲜水果,1,500 mg/kg,注释454
02.4,脂基甜点，不包括01.7类乳基甜点制品,5,000 mg/kg
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,10,000 mg/kg,注释360
04.2.2.6,蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）、海藻、坚果、籽类的浆及其制品（如蔬菜甜品和沙司，和糖渍蔬菜），不包括04.2.2.5类,5,000 mg/kg,注释XS57,注释536,注释XS321,注释XS308R,注释XS259R,注释XS38
10.4,蛋基甜点（如蛋奶甜羹）,5,000 mg/kg
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,5,000 mg/kg,注释387
12.2.2,调味料和调味品,20,000 mg/kg,注释423,注释424
12.6.4,调味清汁（如鱼露）,10,000 mg/kg,注释XS302
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,5,000 mg/kg
06.8.1,豆基饮料,20,000 mg/kg
14.2.6,酒精含量高于15%的蒸馏酒饮料,5,000 mg/kg,注释431
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,10,000 mg/kg,注释537
07.1,面包和普通焙烤制品及其混合物,3,000 mg/kg
06.6,面糊（如用于鱼或禽肉用的裹粉或面糊）,10,000 mg/kg
06.4.3,预制面制品、面条及其类似产品,2,000 mg/kg,注释194
06.7,预熟制或加工的大米制品，包括米糕（仅限东方食品）,10,000 mg/kg
01.1.4,风味液态乳饮料,5,000 mg/kg
13.6,食品补充剂,20,000 mg/kg
03.0,食用冰，包括冰冻果子露和果汁冰糕,5,000 mg/kg
01.3.2,饮料增白剂,20,000 mg/kg,注释XS252,注释XS250
12.2.1,香草和香辛料,2,000 mg/kg,注释422,注释XS328,注释XS327,注释XS326
