编号,食品分类,最大使用量,备注
06.2.1,面粉,5,000 mg/kg,注释45,注释XS152,注释186
12.6.1,乳化沙司（如蛋黄酱，沙拉酱）,2,000 mg/kg,注释45
01.7,乳基甜点（如布丁、水果或调味酸乳）,2,000 mg/kg,注释45,注释449
07.2.2,其他精制焙烤制品（如炸面圈饼、甜面包圈、烤饼和松饼）,500 mg/kg,注释45
01.6.4,再制干酪,30,000 mg/kg,注释45
08.3.3,冷冻的加工碎畜、禽肉和野味制品,500 mg/kg,注释45
14.2.7,加香酒精饮料（如啤酒，果酒和含酒精的清凉饮料，低酒精度提神饮料）,4,000 mg/kg,注释45
05.2,包括硬糖、软糖和牛轧糖等在内的糖果，不包括05.1、05.3、05.4类,5,000 mg/kg,注释XS309R,注释45,注释450
15.0,即食小食品,2,000 mg/kg,注释45
01.2.1.2,发酵乳（原味），发酵后经热处理,2,000 mg/kg,注释45,注释230
05.3,口香糖,30,000 mg/kg,注释45
05.1.4,可可和巧克力制品,5,000 mg/kg,注释45,注释128
05.1.3,可可涂抹物，包括馅料,2,000 mg/kg,注释45,注释XS86
05.1.2,可可混合物（浆）,2,000 mg/kg,注释45
05.1.1,可可混合物（粉）和可可块/可可饼,5,000 mg/kg,注释45,注释97,注释128
08.4,可食用肠衣（如香肠肠衣）,2,000 mg/kg,注释45,注释365
14.2.1,啤酒和麦芽饮料,2,000 mg/kg,注释45
13.2,婴幼儿的补充食品,5,000 mg/kg,注释45,注释428,注释364,注释XS73
08.3.1,未经热处理的加工碎畜、禽肉和野味制品,500 mg/kg,注释45
04.1.2.9,果基甜点，包括水基果味甜点,1,000 mg/kg,注释45
14.1.2.1,果汁,4,000 mg/kg,注释45,注释129,注释128
14.2.4,果酒（不包括葡萄）,4,000 mg/kg,注释45
04.1.2.5,果酱、果冻、柑橘果酱,3,000 mg/kg,注释45
02.3,水包油为主的脂肪乳化物，包括混合和/或调味的脂肪乳化物制品,100 mg/kg,注释45
14.1.4,水基调味饮料，包括“运动”，“能量”，“电解质”饮料及固体饮料,800 mg/kg,注释45
14.1.3.1,水果浆,4,000 mg/kg,注释45,注释128
12.6.3,沙司和卤汁的混合物,5,000 mg/kg,注释45,注释127
14.1.2.3,浓缩果汁,4,000 mg/kg,注释45,注释129,注释127,注释128
14.1.3.3,浓缩水果浆,4,000 mg/kg,注释45,注释127,注释128
06.2.2,淀粉,2,000 mg/kg,注释45
12.5,清汤和浓汤,5,000 mg/kg,注释45,注释XS117
08.3.2,热处理的加工碎畜、禽肉和野味制品,500 mg/kg,注释XS89,注释XS88,注释45,注释XS98
06.4.1,生面制品、面条及其类似产品,5,000 mg/kg,注释45,注释128
05.1.5,类巧克力、代巧克力制品,5,000 mg/kg,注释45
07.2.3,精制焙烤制品预拌粉（如蛋糕、薄烤饼）,8,000 mg/kg,注释45,注释11
04.1.2.11,糕饼的水果馅料,10,000 mg/kg,注释45
04.1.2.7,糖渍水果,20,000 mg/kg,注释45
09.2.5,经烟熏，干制，发酵，和/或盐腌的鱼和鱼制品，包括软体动物，甲壳类和棘皮类动物,200 mg/kg,注释45,注释382,注释XS222,注释XS189,注释128,注释XS236,注释XS244,注释XS167
04.2.2.4,罐装或瓶装（经巴氏杀菌的）或杀菌袋装蔬菜（包括蘑菇和食用真菌、块根类、豆类、芦荟）和海藻,1,300 mg/kg,注释45,注释XS13,注释XS38,注释XS297,注释XS257R,注释XS259R,注释XS57,注释XS145
02.4,脂基甜点，不包括01.7类乳基甜点制品,100 mg/kg,注释45
02.2.2,脂肪涂抹物，乳脂涂抹物和混合涂抹物,100 mg/kg,注释45,注释361
12.4,芥末,5,000 mg/kg,注释45
14.2.2,苹果酒和梨酒,2,000 mg/kg,注释45
10.4,蛋基甜点（如蛋奶甜羹）,2,000 mg/kg,注释45
07.2.1,蛋糕、饼干和派（如：填充水果或奶油的类型）,5,000 mg/kg,注释45
05.4,装饰糖果（如：用于精制焙烤制品）、顶饰（非水果）和甜汁,8,000 mg/kg,注释45
12.2.2,调味料和调味品,7,500 mg/kg,注释45
06.5,谷物和淀粉类甜点（如米布丁、木薯布丁）,2,860 mg/kg,注释45
14.2.6,酒精含量高于15%的蒸馏酒饮料,3,000 mg/kg,注释45,注释431
04.2.2.3,醋、油、盐水或酱油渍的蔬菜（包括蘑菇和食用真菌，块根类，豆类，芦荟）和海藻,15,000 mg/kg,注释XS115,注释45,注释XS38
04.1.2.3,醋、油或盐水渍水果,1,000 mg/kg,注释45
12.6.2,非乳化沙司（如番茄酱，干酪汁，奶油汁，卤汁）,5,000 mg/kg,注释45,注释XS306R
01.6.1,非熟化干酪,1,500 mg/kg,注释351,注释45
07.1,面包和普通焙烤制品及其混合物,4,000 mg/kg,注释45,注释388
06.4.3,预制面制品、面条及其类似产品,7,500 mg/kg,注释45,注释128
13.6,食品补充剂,5,000 mg/kg,注释45
03.0,食用冰，包括冰冻果子露和果汁冰糕,4,000 mg/kg,注释45
11.6,餐桌甜味料，包括含有高浓度甜味剂的产品,2,000 mg/kg,注释45
