中文名称,英文名称,来源,供体,备注
磷酸肌醇磷脂酶C,Phosphoinositide Phospholipase C,地衣芽孢杆菌,假单胞菌,2021年7月26日由国家卫生健康委员会关于4-α-糖基转移酶等28种“三新食品”的公告（2021年第6号）增补。
果胶酯酶,Pectinesterase,李氏木霉,塔宾曲霉,2021年7月26日由国家卫生健康委员会关于4-α-糖基转移酶等28种“三新食品”的公告（2021年第6号）增补。
多聚半乳糖醛酸酶,Polygalacturonase,李氏木霉,塔宾曲霉,2021年7月26日由国家卫生健康委员会关于4-α-糖基转移酶等28种“三新食品”的公告（2021年第6号）增补。
α-淀粉酶,α-amylase,黑曲霉,微小根毛霉,2021年7月26日由国家卫生健康委员会关于4-α-糖基转移酶等28种“三新食品”的公告（2021年第6号）增补。
4-α-糖基转移酶,4-α-glucanotransferase,苍白空气芽孢杆菌,-,2021年7月26日由国家卫生健康委员会关于4-α-糖基转移酶等28种“三新食品”的公告（2021年第6号）增补。
磷酸肌醇磷脂酶C,Phosphoinositide phospholipase C,荧光假单胞菌,从土壤中分离的编码磷酸肌醇磷脂酶C基因的微生物,2021年4月25日由国家卫生健康委关于β-1,3/α-1,3-葡聚糖等6种“三新食品”的公告（2021年第5号）增补。
蛋白酶,Protease,枯草芽孢杆菌,解淀粉芽孢杆菌,2021年4月25日由国家卫生健康委关于β-1,3/α-1,3-葡聚糖等6种“三新食品”的公告（2021年第5号）增补。
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),枯草芽孢杆菌,两歧双歧杆菌,2021年2月20日由国家卫生健康委关于α-淀粉酶等16种“三新食品”的公告（2021年第2号）增补。
蛋白酶,Protease,枯草芽孢杆菌,水生栖热菌,2021年2月20日由国家卫生健康委关于α-淀粉酶等16种“三新食品”的公告（2021年第2号）增补。
α-淀粉酶,Alpha-amylase,地衣芽孢杆菌,嗜纤维菌,2021年2月20日由国家卫生健康委关于α-淀粉酶等16种“三新食品”的公告（2021年第2号）增补。
β-淀粉酶,beta-amylase,地衣芽孢杆菌,弯曲芽孢杆菌,2021年1月7日由国家卫生健康委关于蝉花子实体（人工培植）等15种“三新食品”的公告（2020年第9号）增补。
蛋白质谷氨酰胺酶,Protein glutaminase,解朊金黄杆菌,食品工业用酶制剂的质量规格要求应符合《食品安全国家标准 食品添加剂 食品工业用酶制剂》(GB 1886.174)的规定。2020年8月14日由关于蛋白质谷氨酰胺酶等21种“三新食品”的公告（2020年第6号）增补。
葡糖异构酶,Glucose isomerase,锈棕色链霉菌,锈棕色链霉菌,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
蛋白酶,Protease,李氏木霉,李氏木霉,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
羧肽酶,Carboxypeptidase,黑曲霉,黑曲霉,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
乳糖酶（β-半乳糖苷酶）,Lactase (beta-galactosidase),地衣芽孢杆菌,两歧双歧杆菌,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
α-葡萄糖苷酶,Alpha-glucosidase,李氏木霉,黑曲霉,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
麦芽四糖水解酶,Maltotetraohydrolase,地衣芽孢杆菌,施氏假单胞菌,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
脂肪酶,Lipase,多形汉逊酵母,异孢镰刀菌,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
α-淀粉酶,Alpha-amylase,李氏木霉,白曲霉,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
脂肪酶,Lipase,黑曲霉,黄色镰刀菌,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
木聚糖酶,Xylanase,李氏木霉,Talaromyces leycettanus,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
果胶裂解酶,Pectinlyase,李氏木霉,黑曲霉,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
多聚半乳糖醛酸酶,Polygalacturonase,黑曲霉,黑曲霉,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
阿拉伯呋喃糖苷酶,Arabinofuranosidease,李氏木霉,Talaromyces pinophilus,2020年6月2日由关于瑞士乳杆菌R0052等53种“三新食品”的公告（2020年第4号）增补,
葡糖淀粉酶（淀粉葡糖苷酶）,Glucoamylase（amyloglucosidase）,李氏木霉,李氏木霉,2019年12月13日由关于葡糖淀粉酶等28种“三新食品”的公告（2019年第6号）增补。
葡糖氧化酶,Glucose oxidase,产黄青霉,2019年7月22日由关于可溶性大豆多糖等19种“三新食品”的公告(2019年第4号)增补。
脂肪酶,Lipase,卷枝毛霉（又名：爪哇毛霉）,2018年9月4日由关于(±)-1-环己基乙醇等食品添加剂新品种的公告（2018年第8号）增补。
壳聚糖酶,Chitosanase,枯草芽孢杆菌,2018年9月4日由关于(±)-1-环己基乙醇等食品添加剂新品种的公告（2018年第8号）增补。
果糖基转移酶（又名β-果糖基转移酶）,Fructosyl transferase,米曲霉,2018年3月1日由关于食品工业用酶制剂新品种果糖基转移酶（又名β-果糖基转移酶）和食品添加剂单，双甘油脂肪酸酯等7种扩大使用范围的公告（2018年 第2号）增补。
