序号,名称,可能添加的食品品种,检测方法
1,吊白块,腐竹、粉丝、面粉、竹笋,GB/T 21126-2007 小麦粉与大米粉及其制品中甲醛次硫酸氢钠含量的测定；卫生部《关于印发面粉、油脂中过氧化苯甲酰测定等检验方法的通知》（卫监发〔2001〕159号）附件2 食品中甲醛次硫酸氢钠的测定方法
2,苏丹红,辣椒粉、含辣椒类的食品（辣椒酱、辣味调味品）,GB/T 19681-2005 食品中苏丹红染料的检测方法高效液相色谱法
3,王金黄、块黄,腐皮
4,蛋白精、三聚氰胺,乳及乳制品,GB/T 22388-2008 原料乳与乳制品中三聚氰胺检测方法,GB/T 22400-2008 原料乳中三聚氰胺快速检测液相色谱法
5,硼酸与硼砂,腐竹、肉丸、凉粉、凉皮、面条、饺子皮,无
6,硫氰酸钠,乳及乳制品,无
7,玫瑰红B,调味品,无
8,美术绿,茶叶,无
9,碱性嫩黄,豆制品
10,工业用甲醛,海参、鱿鱼等干水产品、血豆腐,SC/T 3025-2006 水产品中甲醛的测定
11,工业用火碱,海参、鱿鱼等干水产品、生鲜乳,无
12,一氧化碳,金枪鱼、三文鱼,无
13,硫化钠,味精,无
14,工业硫磺,白砂糖、辣椒、蜜饯、银耳、龙眼、胡萝卜、姜等,无
15,工业染料,小米、玉米粉、熟肉制品等,无
16,罂粟壳,火锅底料及小吃类,参照上海市食品药品检验所自建方法
17,革皮水解物,乳与乳制品,含乳饮料,乳与乳制品中动物水解蛋白鉴定－L（－）－羟脯氨酸含量测定（检测方法由中国检验检疫科学院食品安全所提供。该方法仅适应于生鲜乳、纯牛奶、奶粉）
18,溴酸钾,小麦粉,GB/T 20188-2006 小麦粉中溴酸盐的测定 离子色谱法
19,β-内酰胺酶,（金玉兰酶制剂）,乳与乳制品,液相色谱法（检测方法由中国检验检疫科学院食品安全所提供。）
20,富马酸二甲酯,糕点,气相色谱法（检测方法由中国疾病预防控制中心营养与食品安全所提供）
21,废弃食用油脂,食用油脂,无
22,工业用矿物油,陈化大米,无
23,工业明胶,冰淇淋、肉皮冻等,无
24,工业酒精,勾兑假酒,无
25,敌敌畏,火腿、鱼干、咸鱼等制品,GB T5009.20-2003食品中有机磷农药残留的测定
26,毛发水,酱油等,无
27,工业用乙酸,勾兑食醋,GB/T5009.41-2003食醋卫生标准的分析方法
28,肾上腺素受体激动剂类药物（盐酸克伦特罗，莱克多巴胺等）,猪肉、牛羊肉及肝脏等,GB-T22286-2008 动物源性食品中多种β-受体激动剂残留量的测定，液相色谱串联质谱法
29,硝基呋喃类药物,猪肉、禽肉、动物性水产品,GB/T 21311-2007 动物源性食品中硝基呋喃类药物代谢物残留量检测方法，高效液相色谱-串联质谱法
