
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","1,000","mg/kg","52  401"
"01.3.2","Beverage whiteners","1,000","mg/kg","XS250  XS252"
"01.5.2","Milk and cream powder analogues","1,000","mg/kg","XS251"
"01.6.1","Unripened cheese","600","mg/kg",""
"01.6.2.1","Ripened cheese, includes rind","600","mg/kg","XS208  XS278  463"
"01.6.2.2","Rind of ripened cheese","1,000","mg/kg",""
"01.6.2.3","Cheese powder (for reconstitution; e.g. for cheese sauces)","1,000","mg/kg",""
"01.6.4","Processed cheese","1,000","mg/kg",""
"01.6.5","Cheese analogues","1,000","mg/kg","3"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","1,000","mg/kg",""
"02.1.2","Vegetable oils and fats","1,000","mg/kg","517  XS210  XS33  509"
"02.1.3","Lard, tallow, fish oil, and other animal fats","1,000","mg/kg","518  XS329"
"02.2.1","Butter","600","mg/kg",""
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","1,000","mg/kg",""
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","1,000","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","1,000","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","1,000","mg/kg",""
"04.1.2.3","Fruit in vinegar, oil, or brine","1,000","mg/kg",""
"04.1.2.4","Canned or bottled (pasteurized) fruit","1,000","mg/kg","104"
"04.1.2.5","Jams, jellies, marmelades","1,000","mg/kg",""
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","500","mg/kg",""
"04.1.2.7","Candied fruit","1,000","mg/kg",""
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","100","mg/kg","182"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","1,000","mg/kg",""
"04.1.2.10","Fermented fruit products","200","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","100","mg/kg",""
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","200","mg/kg",""
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","1,320","mg/kg",""
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","200","mg/kg",""
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","1,000","mg/kg",""
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","1,000","mg/kg","92"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","1,000","mg/kg",""
"05.1.3","Cocoa-based spreads, including fillings","100","mg/kg","XS86"
"05.1.4","Cocoa and chocolate products","100","mg/kg","183"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","500","mg/kg","XS309R"
"05.3","Chewing gum","500","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","20,000","mg/kg",""
"06.3","Breakfast cereals, including rolled oats","400","mg/kg",""
"06.4.2","Dried pastas and noodles and like products","1,000","mg/kg","211"
"06.4.3","Pre-cooked pastas and noodles and like products","1,000","mg/kg","153"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","1,000","mg/kg",""
"06.6","Batters (e.g. for breading or batters for fish or poultry)","1,000","mg/kg",""
"07.1.2","Crackers, excluding sweet crackers","1,000","mg/kg",""
"07.1.4","Bread-type products, including bread stuffing and bread crumbs","1,000","mg/kg",""
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","1,000","mg/kg",""
"08.1.2","Fresh meat, poultry, and game, comminuted","20","mg/kg","4  16"
"08.2","Processed meat, poultry, and game products in whole pieces or cuts","5,000","mg/kg","XS96  XS97  16"
"08.3.1","Non-heat treated processed comminuted meat, poultry, and game products","20","mg/kg","118"
"08.3.2","Heat-treated processed comminuted meat, poultry, and game products","20","mg/kg","XS89  XS98  XS88"
"08.3.3","Frozen processed comminuted meat, poultry, and game products","5,000","mg/kg","16"
"08.4","Edible casings (e.g. sausage casings)","5,000","mg/kg",""
"09.1.1","Fresh fish","100","mg/kg","4  50  16"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","1,000","mg/kg","16"
"09.2.4.1","Cooked fish and fish products","1,000","mg/kg","95"
"09.2.4.2","Cooked mollusks, crustaceans, and echinoderms","1,000","mg/kg",""
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","1,000","mg/kg","16"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","1,000","mg/kg","XS236  XS222  XS189  XS244  XS167  XS311"
"09.3.1","Fish and fish products, including mollusks, crustaceans, and echinoderms, marinated and/or in jelly","1,000","mg/kg","16"
"09.3.2","Fish and fish products, including mollusks, crustaceans, and echinoderms, pickled and/or in brine","1,000","mg/kg","16"
"09.3.3","Salmon substitutes, caviar, and other fish roe products","1,000","mg/kg","XS291"
"09.3.4","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms (e.g. fish paste), excluding products of food categories 09.3.1 - 09.3.3","1,000","mg/kg","16"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70"
