
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","300","mg/kg","404  478"
"01.3.2","Beverage whiteners","580","mg/kg","XS250  XS252  201  478"
"01.4.4","Cream analogues","580","mg/kg","68  478"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","400","mg/kg","478"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","400","mg/kg","478"
"03.0","Edible ices, including sherbet and sorbet","320","mg/kg","478"
"04.1.2.1","Frozen fruit","400","mg/kg","358  478"
"04.1.2.3","Fruit in vinegar, oil, or brine","180","mg/kg","144"
"04.1.2.4","Canned or bottled (pasteurized) fruit","400","mg/kg","XS319  478"
"04.1.2.5","Jams, jellies, marmelades","400","mg/kg","478"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","400","mg/kg","478"
"04.1.2.7","Candied fruit","1,500","mg/kg","478"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","400","mg/kg","478"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","400","mg/kg","478"
"04.1.2.10","Fermented fruit products","150","mg/kg","478"
"04.1.2.11","Fruit fillings for pastries","400","mg/kg","478"
"04.1.2.12","Cooked fruit","150","mg/kg","478"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","580","mg/kg","348  144"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","400","mg/kg",""
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","580","mg/kg","478"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","400","mg/kg","169  478"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","400","mg/kg","478"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","580","mg/kg","144"
"04.2.2.8","Cooked or fried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","150","mg/kg","345  144  478"
"05.1.1","Cocoa mixes (powders) and cocoa mass/cake","580","mg/kg","XS141  97"
"05.1.2","Cocoa mixes (syrups)","400","mg/kg","97  478"
"05.1.3","Cocoa-based spreads, including fillings","400","mg/kg","XS86  169  478"
"05.1.4","Cocoa and chocolate products","800","mg/kg","XS87  478"
"05.1.5","Imitation chocolate, chocolate substitute products","800","mg/kg","478"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","1,800","mg/kg","164  XS309R  478"
"05.3","Chewing gum","5,000","mg/kg","478"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","1,000","mg/kg","478"
"06.3","Breakfast cereals, including rolled oats","1,000","mg/kg","478"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","400","mg/kg","478"
"06.7","Pre-cooked or processed rice products, including rice cakes (Oriental type only)","200","mg/kg","72"
"07.1","Bread and ordinary bakery wares","650","mg/kg","161"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","700","mg/kg","165  478"
"09.3","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms","120","mg/kg","XS291  144"
