
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","5,000","mg/kg","399"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","5,000","mg/kg",""
"01.2.2","Renneted milk (plain)","5,000","mg/kg",""
"01.3.2","Beverage whiteners","5,000","mg/kg","XS250  XS252"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","6,000","mg/kg",""
"01.4.3","Clotted cream (plain)","5,000","mg/kg",""
"01.4.4","Cream analogues","6,000","mg/kg",""
"01.5.1","Milk powder and cream powder (plain)","10,000","mg/kg",""
"01.5.2","Milk and cream powder analogues","10,000","mg/kg","XS251"
"01.6.2.1","Ripened cheese, includes rind","10,000","mg/kg","XS283  XS277  XS276  XS263  XS208  XS274  XS264  XS265  XS269  XS278  XS266  XS267  XS272  XS271  XS268  XS270"
"01.6.4","Processed cheese","10,000","mg/kg",""
"01.6.5","Cheese analogues","10,000","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","10,000","mg/kg",""
"02.1.2","Vegetable oils and fats","10,000","mg/kg","XS19  XS210  XS33"
"02.1.3","Lard, tallow, fish oil, and other animal fats","10,000","mg/kg","XS19  XS211"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","10,000","mg/kg",""
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","10,000","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","5,000","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","1,000","mg/kg",""
"04.1.2.2","Dried fruit","10,000","mg/kg",""
"04.1.2.3","Fruit in vinegar, oil, or brine","1,000","mg/kg",""
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","5,000","mg/kg",""
"04.1.2.7","Candied fruit","1,000","mg/kg",""
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","2,500","mg/kg",""
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","2,500","mg/kg",""
"04.1.2.10","Fermented fruit products","2,500","mg/kg",""
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","10,000","mg/kg",""
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","2,500","mg/kg",""
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","2,500","mg/kg",""
