
"Number","Food Category","Max Level","Units","Notes"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","1,000","mg/kg","XS253"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","1,000","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","1,000","mg/kg",""
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","1,000","mg/kg","XS309R"
"08.2","Processed meat, poultry, and game products in whole pieces or cuts","1,000","mg/kg","XS96  XS97"
"08.3","Processed comminuted meat, poultry, and game products","1,000","mg/kg","XS89  XS98  XS88"
"10.4","Egg-based desserts (e.g. custard)","2,000","mg/kg",""
"12.5","Soups and broths","500","mg/kg","XS117"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","1,000","mg/kg",""
"07.1","Bread and ordinary bakery wares","4,000","mg/kg",""
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","2,500","mg/kg",""
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","2,500","mg/kg","XS306R"
"12.6.3","Mixes for sauces and gravies","2,500","mg/kg","127"
"12.6.4","Clear sauces (e.g. fish sauce)","2,500","mg/kg","XS302"


(c) FAO and WHO 2009

