
"Number","Food Category","Max Level","Units","Notes"
"04.1.1.2","Surface-treated fresh fruit","30","mg/kg","44  204"
"04.1.2.1","Frozen fruit","500","mg/kg","44  155"
"04.1.2.2","Dried fruit","1,000","mg/kg","44  135  218"
"04.1.2.3","Fruit in vinegar, oil, or brine","100","mg/kg","44"
"04.1.2.5","Jams, jellies, marmelades","100","mg/kg","44"
"04.1.2.7","Candied fruit","100","mg/kg","44"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","100","mg/kg","44  206"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","100","mg/kg","44"
"04.1.2.10","Fermented fruit products","100","mg/kg","44"
"04.1.2.11","Fruit fillings for pastries","100","mg/kg","44"
"04.2.1.3","Peeled, cut or shredded fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","50","mg/kg","44  76  136"
"04.2.2.1","Frozen vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","50","mg/kg","44  137  76  136"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","500","mg/kg","44  105"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","100","mg/kg","44"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","50","mg/kg","44"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","500","mg/kg","44  138"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","300","mg/kg","44  205"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","500","mg/kg","44"
"06.2.1","Flours","200","mg/kg","44  470"
"06.2.2","Starches","50","mg/kg","44"
"06.4.3","Pre-cooked pastas and noodles and like products","20","mg/kg","44  476"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","50","mg/kg","44"
"09.1.2","Fresh mollusks, crustaceans, and echinoderms","100","mg/kg","44  XS315  XS312  390"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","100","mg/kg","44  XS315  XS312  XS165  XS36  XS190  XS191  392  139  19"
"09.2.4.2","Cooked mollusks, crustaceans, and echinoderms","150","mg/kg","44"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","30","mg/kg","44  XS236  XS222  XS189  XS244  XS167  XS311"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","150","mg/kg","44  140  XS90  XS119  XS3  XS94  XS37  XS70"
"11.1.1","White sugar, dextrose anhydrous, dextrose monohydrate, fructose","15","mg/kg","44"
"11.1.2","Powdered sugar, powdered dextrose","15","mg/kg","44"
"11.1.3","Soft white sugar, soft brown sugar, glucose syrup, dried glucose syrup, raw cane sugar","20","mg/kg","44  111"
"11.1.5","Plantation or mill white sugar","70","mg/kg","44"
"11.2","Brown sugar excluding products of food category 11.1.3","40","mg/kg","44"
"11.3","Sugar solutions and syrups, also (partially) inverted, including treacle and molasses, excluding products of food category 11.1.3","70","mg/kg","44"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","40","mg/kg","44"
"12.2.1","Herbs and spices","150","mg/kg","44  XS327  XS328  532"
"12.2.2","Seasonings and condiments","200","mg/kg","44"
"12.3","Vinegars","100","mg/kg","44"
"12.4","Mustards","250","mg/kg","44  106"
"12.6","Sauces and like products","300","mg/kg","44  XS302"
"14.1.2.1","Fruit juice","50","mg/kg","44  122"
"14.1.2.2","Vegetable juice","50","mg/kg","44  122"
"14.1.2.3","Concentrates for fruit juice","50","mg/kg","44  127  122"
"14.1.2.4","Concentrates for vegetable juice","50","mg/kg","44  127  122"
"14.1.3.1","Fruit nectar","50","mg/kg","44  122"
"14.1.3.2","Vegetable nectar","50","mg/kg","44  122"
"14.1.3.3","Concentrates for fruit nectar","50","mg/kg","44  127  122"
"14.1.3.4","Concentrates for vegetable nectar","50","mg/kg","44  127  122"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","70","mg/kg","44  143  127"
"14.2.1","Beer and malt beverages","50","mg/kg","44"
"14.2.2","Cider and perry","200","mg/kg","44"
"14.2.3","Grape wines","350","mg/kg","44  103"
"14.2.4","Wines (other than grape)","200","mg/kg","44"
"14.2.5","Mead","200","mg/kg","44"
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","200","mg/kg","44"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","250","mg/kg","44"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","50","mg/kg","44"


(c) FAO and WHO 2009

