
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","150","mg/kg","52"
"01.6.2.2","Rind of ripened cheese","100","mg/kg",""
"01.6.5","Cheese analogues","100","mg/kg","3"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","150","mg/kg",""
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","100","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","150","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","150","mg/kg",""
"04.1.2.4","Canned or bottled (pasteurized) fruit","200","mg/kg","267  161"
"04.1.2.5","Jams, jellies, marmelades","100","mg/kg","161"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","100","mg/kg","161"
"04.1.2.7","Candied fruit","100","mg/kg","161"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","100","mg/kg","182  161"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","150","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","250","mg/kg",""
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","500","mg/kg","161"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","200","mg/kg","161"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","100","mg/kg","92  161"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","100","mg/kg","92  161"
"05.1.3","Cocoa-based spreads, including fillings","100","mg/kg","XS86"
"05.1.4","Cocoa and chocolate products","100","mg/kg","183"
"05.1.5","Imitation chocolate, chocolate substitute products","100","mg/kg",""
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","300","mg/kg","XS309R"
"05.3","Chewing gum","300","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg",""
"06.3","Breakfast cereals, including rolled oats","200","mg/kg",""
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","150","mg/kg",""
"07.1","Bread and ordinary bakery wares","100","mg/kg","161"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","200","mg/kg","161"
"08.0","Meat and meat products, including poultry and game","100","mg/kg","XS89  XS98  XS96  XS97  XS88  4  16"
"09.1.1","Fresh fish","300","mg/kg","4  50  16"
"09.1.2","Fresh mollusks, crustaceans, and echinoderms","500","mg/kg","XS315  XS312  XS292  4  16"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","XS315  XS312  XS292  XS165  XS36  XS190  XS95  XS191  XS92  95"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","XS166  16"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","16"
"09.2.4.1","Cooked fish and fish products","100","mg/kg","95"
"09.2.4.2","Cooked mollusks, crustaceans, and echinoderms","100","mg/kg",""
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","16"
"09.3.1","Fish and fish products, including mollusks, crustaceans, and echinoderms, marinated and/or in jelly","500","mg/kg","16"
"09.3.2","Fish and fish products, including mollusks, crustaceans, and echinoderms, pickled and/or in brine","500","mg/kg","16"
"09.3.3","Salmon substitutes, caviar, and other fish roe products","500","mg/kg","XS291"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","500","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70"
"10.1","Fresh eggs","","GMP","4"
"10.4","Egg-based desserts (e.g. custard)","150","mg/kg",""
"12.2.2","Seasonings and condiments","100","mg/kg",""
"12.4","Mustards","100","mg/kg",""
"12.5","Soups and broths","50","mg/kg",""
"12.6","Sauces and like products","100","mg/kg","XS302"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","50","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","50","mg/kg",""
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","300","mg/kg",""
"13.6","Food supplements","300","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","100","mg/kg",""
"14.2.2","Cider and perry","200","mg/kg",""
"14.2.4","Wines (other than grape)","200","mg/kg",""
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","200","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","200","mg/kg",""
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","200","mg/kg",""
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","100","mg/kg",""


(c) FAO and WHO 2009

