
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","150","mg/kg","52"
"05.3","Chewing gum","100","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","300","mg/kg","447"
"12.5","Soups and broths","50","mg/kg","99"
"13.6","Food supplements","300","mg/kg","533  539"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","95","mg/kg","127"
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","200","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","100","mg/kg",""
"05.2.1","Hard candy","50","mg/kg","441"
"05.2.2","Soft candy","100","mg/kg",""
"05.2.3","Nougats and marzipans","50","mg/kg",""


(c) FAO and WHO 2009

