
"Number","Food Category","Max Level","Units","Notes"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP","234"
"01.2.2","Renneted milk (plain)","","GMP",""
"01.4.1","Pasteurized cream (plain)","","GMP","236"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"06.4.1","Fresh pastas and noodles and like products","","GMP","211"
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP","281"
"10.2.1","Liquid egg products","","GMP",""
"10.2.2","Frozen egg products","","GMP",""
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","","GMP","258"
"13.1.1","Infant formulae","1,000","mg/kg","72"
"13.1.2","Follow-up formulae","1,000","mg/kg","72"
"13.1.3","Formulae for special medical purposes for infants","1,000","mg/kg","72"
"13.2","Complementary foods for infants and young children","2,000","mg/kg","271  272"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"01.2.1.1","Fermented milks (plain), not heat-treated after fermentation","","GMP","234  235"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  XS292  XS36  XS190  XS95  XS191  XS92  391"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","177"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.4.1","Cooked fish and fish products","","GMP","241"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","41"
"01.1.2","Other fluid milk (plain)","","GMP","407  438"


(c) FAO and WHO 2009

