
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","10","mg/kg","52"
"05.3","Chewing gum","30","mg/kg","445"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","50","mg/kg","445"
"12.5","Soups and broths","50","mg/kg","99"
"13.6","Food supplements","300","mg/kg","535  539"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","70","mg/kg","127"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","70","mg/kg",""
"05.2.1","Hard candy","100","mg/kg","442"
"05.2.2","Soft candy","100","mg/kg",""
"05.2.3","Nougats and marzipans","100","mg/kg",""


(c) FAO and WHO 2009

