
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","5,000","mg/kg",""
"01.3.2","Beverage whiteners","4,000","mg/kg","XS250  XS252"
"01.4.4","Cream analogues","5,000","mg/kg","349"
"01.5.2","Milk and cream powder analogues","4,000","mg/kg","XS251"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","5,000","mg/kg","362"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","10,000","mg/kg","359"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","5,000","mg/kg","363"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","10,000","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","1,000","mg/kg",""
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","5,000","mg/kg","XS240  XS314R"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","5,000","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","5,000","mg/kg",""
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","5,000","mg/kg","76"
"06.4.2","Dried pastas and noodles and like products","5,000","mg/kg","211  11"
"06.4.3","Pre-cooked pastas and noodles and like products","5,000","mg/kg","194  2"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","5,000","mg/kg",""
"07.1.1","Breads and rolls","3,000","mg/kg",""
"07.1.2","Crackers, excluding sweet crackers","10,000","mg/kg","11"
"07.1.3","Other ordinary bakery products (e.g. bagels, pita, English muffins)","10,000","mg/kg","11"
"07.1.4","Bread-type products, including bread stuffing and bread crumbs","10,000","mg/kg","11"
"07.1.5","Steamed breads and buns","10,000","mg/kg","11"
"07.1.6","Mixes for bread and ordinary bakery wares","10,000","mg/kg","11"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","10,000","mg/kg",""
"10.4","Egg-based desserts (e.g. custard)","5,000","mg/kg",""
"12.5.2","Mixes for soups and broths","250","mg/kg","XS117  127"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","5,000","mg/kg",""
"12.6.3","Mixes for sauces and gravies","50","mg/kg","127"
"12.8","Yeast and like products","15,000","mg/kg",""
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","1,000","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","1,000","mg/kg",""
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","5,000","mg/kg",""
"13.6","Food supplements","10,000","mg/kg","364"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","500","mg/kg","429"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","300","mg/kg",""
"05.1.1","Cocoa mixes (powders) and cocoa mass/cake","2,000","mg/kg","XS141  123  97"
"05.1.4","Cocoa and chocolate products","10,000","mg/kg","101"
"05.3","Chewing gum","5,000","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","10,000","mg/kg",""
"05.1.3","Cocoa-based spreads, including fillings","10,000","mg/kg","XS86"
"05.1.5","Imitation chocolate, chocolate substitute products","10,000","mg/kg",""
"05.2.1","Hard candy","10,000","mg/kg",""
"05.2.2","Soft candy","10,000","mg/kg","XS309R"
"05.2.3","Nougats and marzipans","10,000","mg/kg",""
"14.1.4.1","Carbonated water-based flavoured drinks","500","mg/kg",""
"14.1.4.2","Non-carbonated water-based flavoured drinks, including punches and ades","500","mg/kg",""
"14.1.4.3","Concentrates (liquid or solid) for water-based flavoured drinks","500","mg/kg","127"
"10.2.1","Liquid egg products","500","mg/kg",""
"10.2.2","Frozen egg products","500","mg/kg",""
"10.2.3","Dried and/or heat coagulated egg products","500","mg/kg","452"


(c) FAO and WHO 2009

