
"Number","Food Category","Max Level","Units","Notes"
"01.3.2","Beverage whiteners","80","mg/kg","10  XS250  XS252"
"01.5.1","Milk powder and cream powder (plain)","500","mg/kg","10"
"01.5.2","Milk and cream powder analogues","80","mg/kg","10"
"01.6.2.1","Ripened cheese, includes rind","500","mg/kg","10  XS283  XS277  XS276  XS263  XS208  XS274  XS264  XS265  XS269  XS278  XS266  XS267  XS272  XS271  XS268  XS270  112"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","500","mg/kg","10  2"
"02.1.1","Butter oil, anhydrous milkfat, ghee","500","mg/kg","10  171"
"02.1.2","Vegetable oils and fats","500","mg/kg","10  XS33  511"
"02.1.3","Lard, tallow, fish oil, and other animal fats","500","mg/kg","10  526"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","500","mg/kg","10"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","500","mg/kg","10"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","80","mg/kg","10"
"03.0","Edible ices, including sherbet and sorbet","200","mg/kg","10  15"
"04.1.2.2","Dried fruit","80","mg/kg","10"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","500","mg/kg","10  2"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","80","mg/kg","10"
"05.0","Confectionery","500","mg/kg","10  XS309R  375  XS141  XS86  XS105  15"
"06.3","Breakfast cereals, including rolled oats","200","mg/kg","10"
"06.4.3","Pre-cooked pastas and noodles and like products","500","mg/kg","10  211"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","500","mg/kg","10  2"
"07.0","Bakery wares","1,000","mg/kg","10  15"
"08.4","Edible casings (e.g. sausage casings)","5,000","mg/kg","10"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","1,000","mg/kg","10  XS315  XS312  XS36  XS190  XS95  XS191  XS92  392"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","1,000","mg/kg","10"
"10.4","Egg-based desserts (e.g. custard)","500","mg/kg","10  2"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","200","mg/kg","10"
"12.2","Herbs, spices, seasonings and condiments (e.g. seasoning for instant noodles)","500","mg/kg","10  XS326  XS327  XS328"
"12.4","Mustards","500","mg/kg","10"
"12.5","Soups and broths","200","mg/kg","10"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","500","mg/kg","10  15"
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","500","mg/kg","10"
"12.6.3","Mixes for sauces and gravies","200","mg/kg","10"
"12.6.4","Clear sauces (e.g. fish sauce)","200","mg/kg","10  XS302"
"12.7","Salads (e.g. macaroni salad, potato salad) and sandwich spreads excluding cocoa- and nut-based spreads of food categories 04.2.2.5 and 05.1.3","200","mg/kg","10"
"13.1.1","Infant formulae","10","mg/kg","187  72"
"13.1.2","Follow-up formulae","50","mg/kg","187  72  315"
"13.1.3","Formulae for special medical purposes for infants","10","mg/kg","187  72"
"13.2","Complementary foods for infants and young children","200","mg/kg","187  15"
"13.4","Dietetic formulae for slimming purposes and weight reduction","500","mg/kg","10"
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","500","mg/kg","10"
"13.6","Food supplements","500","mg/kg","10"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","1,000","mg/kg","10  15"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","200","mg/kg","10"
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","200","mg/kg","10"
"01.6.1","Unripened cheese","500","mg/kg","10  XS221  XS273"


(c) FAO and WHO 2009

