
"Number","Food Category","Max Level","Units","Notes"
"06.4.2","Dried pastas and noodles and like products","200","mg/kg","256"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP","281"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  XS165  XS36  XS190  XS95  XS191  XS92  392  308"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS166  139"
"13.1.2","Follow-up formulae","50","mg/kg","70  72  315"
"13.2","Complementary foods for infants and young children","200","mg/kg","317  239"
"14.1.2.1","Fruit juice","","GMP",""
"14.1.2.3","Concentrates for fruit juice","","GMP","127"
"14.1.3.1","Fruit nectar","","GMP",""
"14.1.3.3","Concentrates for fruit nectar","","GMP","127"
"04.1.1.3","Peeled or cut fresh fruit","","GMP",""
"09.1.2","Fresh mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  390"


(c) FAO and WHO 2009

