
"Number","Food Category","Max Level","Units","Notes"
"02.1.2","Vegetable oils and fats","200","mg/kg","520  XS33  511"
"02.1.3","Lard, tallow, fish oil, and other animal fats","200","mg/kg","521"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","100","mg/kg",""
"08.1.2","Fresh meat, poultry, and game, comminuted","200","mg/kg",""
"08.2.1.2","Cured (including salted) and dried non-heat treated processed meat, poultry, and game products in whole pieces or cuts","200","mg/kg",""
"08.3.1.2","Cured (including salted) and dried non-heat treated processed comminuted meat, poultry, and game products","200","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","200","mg/kg",""


(c) FAO and WHO 2009

