
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","300","mg/kg","52"
"01.3.2","Beverage whiteners","300","mg/kg","XS250  XS252"
"01.5.2","Milk and cream powder analogues","300","mg/kg","XS251"
"01.6.1","Unripened cheese","300","mg/kg","491  XS273  XS275"
"01.6.2.1","Ripened cheese, includes rind","300","mg/kg","504  XS277  XS276  XS208  XS274  XS265  XS269  XS278  XS266  XS267  XS272  XS271  XS268  XS270  462"
"01.6.2.2","Rind of ripened cheese","300","mg/kg",""
"01.6.4","Processed cheese","300","mg/kg",""
"01.6.5","Cheese analogues","300","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","300","mg/kg",""
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","300","mg/kg",""
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","300","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","300","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","500","mg/kg",""
"04.1.1.2","Surface-treated fresh fruit","300","mg/kg","4  16"
"04.1.2.4","Canned or bottled (pasteurized) fruit","300","mg/kg","267"
"04.1.2.5","Jams, jellies, marmelades","200","mg/kg",""
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","500","mg/kg",""
"04.1.2.7","Candied fruit","300","mg/kg",""
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","300","mg/kg","182"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","300","mg/kg",""
"04.1.2.10","Fermented fruit products","500","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","300","mg/kg",""
"04.2.1.2","Surface-treated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","300","mg/kg","4  16"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","500","mg/kg",""
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","300","mg/kg","92"
