
"Number","Food Category","Max Level","Units","Notes"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","50","mg/kg",""
"05.3","Chewing gum","300","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","50","mg/kg",""
"13.6","Food supplements","300","mg/kg","539"
"14.2.2","Cider and perry","200","mg/kg",""
"14.2.4","Wines (other than grape)","200","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","200","mg/kg",""
"01.1.4","Flavoured fluid milk drinks","150","mg/kg","52"


(c) FAO and WHO 2009

