
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","20","mg/kg","52  402"
"01.6.2.2","Rind of ripened cheese","100","mg/kg",""
"01.6.4","Processed cheese","50","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","100","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","350","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","300","mg/kg",""
"04.1.1.2","Surface-treated fresh fruit","1,000","mg/kg","4  16"
"04.1.2.4","Canned or bottled (pasteurized) fruit","300","mg/kg","267"
"04.1.2.5","Jams, jellies, marmelades","200","mg/kg",""
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","500","mg/kg",""
"04.1.2.7","Candied fruit","250","mg/kg",""
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","200","mg/kg",""
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","200","mg/kg","XS309R"
"05.3","Chewing gum","5,000","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","100","mg/kg",""
"06.3","Breakfast cereals, including rolled oats","75","mg/kg",""
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","75","mg/kg",""
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","100","mg/kg",""
"08.4","Edible casings (e.g. sausage casings)","1,000","mg/kg","72"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","250","mg/kg","XS236  XS222  XS189  XS244  XS167  XS311  22"
"09.3.3","Salmon substitutes, caviar, and other fish roe products","100","mg/kg","XS291"
"09.3.4","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms (e.g. fish paste), excluding products of food categories 09.3.1 - 09.3.3","50","mg/kg","95"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","50","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70  95"
"10.1","Fresh eggs","","GMP","4"
"10.4","Egg-based desserts (e.g. custard)","150","mg/kg",""
"12.2.2","Seasonings and condiments","1,000","mg/kg",""
"12.5","Soups and broths","100","mg/kg","XS117"
"12.6","Sauces and like products","75","mg/kg","XS302"
"13.6","Food supplements","7,500","mg/kg","3"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","100","mg/kg",""
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","500","mg/kg",""
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","400","mg/kg",""


(c) FAO and WHO 2009

