
"Number","Food Category","Max Level","Units","Notes"
"01.1.1","Fluid milk (plain)","","GMP","59"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP","59  278"
"13.1.1","Infant formulae","","GMP","59"
"13.1.3","Formulae for special medical purposes for infants","","GMP","59"
"13.2","Complementary foods for infants and young children","","GMP","59"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","59  160"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP","59"
"01.2.2","Renneted milk (plain)","","GMP","59"
"04.1.1.3","Peeled or cut fresh fruit","","GMP","59"
"01.1.2","Other fluid milk (plain)","","GMP","59"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  59  382"


(c) FAO and WHO 2009

