
"Number","Food Category","Max Level","Units","Notes"
"01.5.1","Milk powder and cream powder (plain)","200","mg/kg","75  15  196"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","90","mg/kg","2  15"
"02.1.1","Butter oil, anhydrous milkfat, ghee","100","mg/kg","133  514  171  15"
"02.1.2","Vegetable oils and fats","200","mg/kg","515  XS33  511  15  130"
"02.1.3","Lard, tallow, fish oil, and other animal fats","200","mg/kg","516  15  130"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","200","mg/kg","15  130"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","200","mg/kg","15  130"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","200","mg/kg","15  130"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","90","mg/kg","2  15"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","50","mg/kg","76  15  196"
"05.1","Cocoa products and chocolate products including imitations and chocolate substitutes","200","mg/kg","303  XS141  XS86  XS105  15  130"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","200","mg/kg","XS309R  15  130"
"05.3","Chewing gum","1,000","mg/kg","130"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","200","mg/kg","15  130"
"06.1","Whole, broken, or flaked grain, including rice","100","mg/kg","XS202  15"
"06.3","Breakfast cereals, including rolled oats","200","mg/kg","15  196"
"06.4.3","Pre-cooked pastas and noodles and like products","200","mg/kg","211  15  130"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","90","mg/kg","2  15"
"07.1.3","Other ordinary bakery products (e.g. bagels, pita, English muffins)","100","mg/kg","15  130"
"07.2.3","Mixes for fine bakery wares (e.g. cakes, pancakes)","200","mg/kg","15  196"
"08.2","Processed meat, poultry, and game products in whole pieces or cuts","200","mg/kg","XS96  XS97  15  130"
"08.3","Processed comminuted meat, poultry, and game products","200","mg/kg","XS89  XS98  XS88  15  130"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","100","mg/kg","XS236  XS222  XS189  XS244  XS167  XS311  15  196"
"10.4","Egg-based desserts (e.g. custard)","90","mg/kg","2  15"
"12.2","Herbs, spices, seasonings and condiments (e.g. seasoning for instant noodles)","200","mg/kg","XS326  XS327  XS328  15  130"
"12.5","Soups and broths","200","mg/kg","15  127  130"
"12.6","Sauces and like products","200","mg/kg","XS302  15  130"
"13.6","Food supplements","400","mg/kg","15  196"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","1,000","mg/kg","15"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","200","mg/kg","15  130"
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","200","mg/kg","15  130"


(c) FAO and WHO 2009

