
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","2,000","mg/kg","52  400"
"13.6","Food supplements","7,500","mg/kg",""
"05.3","Chewing gum","20,000","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","50,000","mg/kg",""
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","50,000","mg/kg",""
"06.4.3","Pre-cooked pastas and noodles and like products","50,000","mg/kg","194"
"05.1.3","Cocoa-based spreads, including fillings","50,000","mg/kg","XS86"
"05.1.4","Cocoa and chocolate products","50,000","mg/kg","183"
"05.1.5","Imitation chocolate, chocolate substitute products","50,000","mg/kg",""
"14.2.1","Beer and malt beverages","50,000","mg/kg",""
"14.2.2","Cider and perry","1,000","mg/kg",""
"14.2.4","Wines (other than grape)","1,000","mg/kg",""
"14.2.5","Mead","5,000","mg/kg",""
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","5,000","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","4,000","mg/kg",""
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","500","mg/kg","528"


(c) FAO and WHO 2009

