
"Number","Food Category","Max Level","Units","Notes"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","10","mg/kg","478"
"03.0","Edible ices, including sherbet and sorbet","10","mg/kg","478"
"04.1.2.5","Jams, jellies, marmelades","10","mg/kg","XS296  478"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","10","mg/kg","XS160  478"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","10","mg/kg","XS240  XS314R  478"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","10","mg/kg","478"
"04.1.2.10","Fermented fruit products","10","mg/kg","478"
"04.1.2.12","Cooked fruit","10","mg/kg","478"
"05.1.3","Cocoa-based spreads, including fillings","10","mg/kg","XS86  478"
"05.1.4","Cocoa and chocolate products","20","mg/kg","478"
"05.2.1","Hard candy","40","mg/kg","114  478"
"05.2.2","Soft candy","30","mg/kg","114  XS309R  478"
"05.2.3","Nougats and marzipans","30","mg/kg","478"
"05.3","Chewing gum","400","mg/kg","478"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","20","mg/kg","478"
"06.3","Breakfast cereals, including rolled oats","10","mg/kg","478"
"10.4","Egg-based desserts (e.g. custard)","10","mg/kg","478"
"12.5","Soups and broths","12","mg/kg","XS117  478"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","10","mg/kg","478"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","6","mg/kg","160  478"


(c) FAO and WHO 2009

