
"Number","Food Category","Max Level","Units","Notes"
"01.2.2","Renneted milk (plain)","","GMP",""
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","","GMP",""
"06.4.1","Fresh pastas and noodles and like products","","GMP","211"
"08.1.1","Fresh meat, poultry, and game, whole pieces or cuts","","GMP","326  16"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP",""
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS166  41"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  XS311  300"
"10.2.2","Frozen egg products","","GMP",""
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","","GMP","258"
"12.1.2","Salt Substitutes","","GMP",""
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"09.2.4.1","Cooked fish and fish products","","GMP","241"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","41"


(c) FAO and WHO 2009

