
"Number","Food Category","Max Level","Units","Notes"
"01.6.1","Unripened cheese","200","mg/kg","XS221  XS273  351  168"
"01.6.4","Processed cheese","200","mg/kg",""
"01.6.5","Cheese analogues","400","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","500","mg/kg","XS243"
"02.1.1","Butter oil, anhydrous milkfat, ghee","500","mg/kg","513  171"
"02.1.2","Vegetable oils and fats","300","mg/kg","357  511"
"02.1.3","Lard, tallow, fish oil, and other animal fats","300","mg/kg","527"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","500","mg/kg",""
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","900","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","200","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","500","mg/kg","15"
"04.1.2.2","Dried fruit","200","mg/kg","XS130  XS67"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","150","mg/kg","XS240  XS314R"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","500","mg/kg","15"
"04.1.2.11","Fruit fillings for pastries","150","mg/kg",""
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","200","mg/kg","XS38"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","300","mg/kg","XS57"
"05.1.2","Cocoa mixes (syrups)","500","mg/kg","15"
"05.1.3","Cocoa-based spreads, including fillings","100","mg/kg","XS86  15"
"05.1.4","Cocoa and chocolate products","750","mg/kg","15  168"
"05.1.5","Imitation chocolate, chocolate substitute products","500","mg/kg","15"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","500","mg/kg","XS309R  15"
"05.3","Chewing gum","1,500","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg","15"
"06.3","Breakfast cereals, including rolled oats","200","mg/kg",""
"06.4.2","Dried pastas and noodles and like products","500","mg/kg","211"
"06.4.3","Pre-cooked pastas and noodles and like products","200","mg/kg","211"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","500","mg/kg","15"
"06.6","Batters (e.g. for breading or batters for fish or poultry)","100","mg/kg",""
"08.1.2","Fresh meat, poultry, and game, comminuted","300","mg/kg","281  15"
"08.2","Processed meat, poultry, and game products in whole pieces or cuts","500","mg/kg","XS96  XS97"
"08.3","Processed comminuted meat, poultry, and game products","500","mg/kg","XS89  XS98  XS88"
"08.4","Edible casings (e.g. sausage casings)","5,000","mg/kg","365"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","200","mg/kg","XS166  15"
"10.4","Egg-based desserts (e.g. custard)","500","mg/kg","72"
"12.2","Herbs, spices, seasonings and condiments (e.g. seasoning for instant noodles)","2,000","mg/kg","XS326  XS327  XS328  421"
"12.4","Mustards","200","mg/kg",""
"12.5","Soups and broths","50","mg/kg","346"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","600","mg/kg",""
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","600","mg/kg",""
"12.6.3","Mixes for sauces and gravies","300","mg/kg","127"
"13.1.1","Infant formulae","10","mg/kg","72  416"
"13.1.2","Follow-up formulae","30","mg/kg","72"
"13.1.3","Formulae for special medical purposes for infants","10","mg/kg","72  416"
"13.2","Complementary foods for infants and young children","300","mg/kg","15"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","30","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","300","mg/kg",""
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","300","mg/kg",""
"13.6","Food supplements","2,000","mg/kg","418"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","200","mg/kg","434"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","5","mg/kg",""
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","200","mg/kg",""
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","200","mg/kg",""
"01.8","Whey and whey products, excluding whey cheeses","200","mg/kg",""
"06.2.1","Flours","5,000","mg/kg","XS152  186  15"
"01.3.2","Beverage whiteners","200","mg/kg","XS250  XS252"
"01.4.4","Cream analogues","200","mg/kg",""
"01.6.2.3","Cheese powder (for reconstitution; e.g. for cheese sauces)","300","mg/kg",""
"07.1.2","Crackers, excluding sweet crackers","200","mg/kg",""
"07.1.6","Mixes for bread and ordinary bakery wares","100","mg/kg",""
"07.2.1","Cakes, cookies and pies (e.g. fruit-filled or custard types)","200","mg/kg","389"
"07.2.2","Other fine bakery products (e.g. doughnuts, sweet rolls, scones, and muffins)","200","mg/kg",""
"07.2.3","Mixes for fine bakery wares (e.g. cakes, pancakes)","200","mg/kg","11"
"01.1.4","Flavoured fluid milk drinks","200","mg/kg","15"
"01.1.2","Other fluid milk (plain)","200","mg/kg","410"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","200","mg/kg","XS160"


(c) FAO and WHO 2009

