
"Number","Food Category","Max Level","Units","Notes"
"04.1.2.2","Dried fruit","5,000","mg/kg",""
"05.1","Cocoa products and chocolate products including imitations and chocolate substitutes","2,000","mg/kg","XS87  XS141  XS86  XS105  3"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","2,000","mg/kg","XS309R  3"
"05.3","Chewing gum","20,000","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","2,000","mg/kg","3"
"06.1","Whole, broken, or flaked grain, including rice","800","mg/kg","XS202  98"
"07.0","Bakery wares","3,000","mg/kg","125"
"08.2.3","Frozen processed meat, poultry, and game products in whole pieces or cuts","950","mg/kg","3"
"08.3.3","Frozen processed comminuted meat, poultry, and game products","950","mg/kg","3"


(c) FAO and WHO 2009

