
"Number","Food Category","Max Level","Units","Notes"
"01.8.2","Dried whey and whey products, excluding whey cheeses","1,140","mg/kg","6"
"01.3.2","Beverage whiteners","570","mg/kg","6  XS250  XS252  260"
"12.2.2","Seasonings and condiments","1,000","mg/kg","6  255"
"12.5.2","Mixes for soups and broths","570","mg/kg","6  XS117"
"12.6.3","Mixes for sauces and gravies","570","mg/kg","6"
"12.1.1","Salt","1,000","mg/kg","6  254"
"05.3","Chewing gum","100","mg/kg","6  174"
"01.5.1","Milk powder and cream powder (plain)","265","mg/kg","6  259"
"01.5.2","Milk and cream powder analogues","570","mg/kg","6"


(c) FAO and WHO 2009

