
"Number","Food Category","Max Level","Units","Notes"
"01.4.1","Pasteurized cream (plain)","","GMP","236"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"04.2.2.1","Frozen vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","","GMP","29  323  324"
"06.2.1","Flours","","GMP","57"
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"10.2.1","Liquid egg products","","GMP",""


(c) FAO and WHO 2009

