
"Number","Food Category","Max Level","Units","Notes"
"01.1.1","Fluid milk (plain)","1,500","mg/kg","33  227"
"01.1.4","Flavoured fluid milk drinks","1,500","mg/kg","33  398  364"
"01.2","Fermented and renneted milk products (plain)","1,000","mg/kg","33"
"01.3.1","Condensed milk (plain)","880","mg/kg","33"
"01.3.2","Beverage whiteners","13,000","mg/kg","33  480"
"01.4","Cream (plain) and the like","2,200","mg/kg","33"
"01.5.1","Milk powder and cream powder (plain)","4,400","mg/kg","33"
"01.5.2","Milk and cream powder analogues","4,400","mg/kg","88  33  483  482"
"01.6.1","Unripened cheese","4,400","mg/kg","33  487  495  496"
"01.6.4","Processed cheese","9,000","mg/kg","33"
"01.6.5","Cheese analogues","9,000","mg/kg","33"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","1,500","mg/kg","33"
"01.8.1","Liquid whey and whey products, excluding whey cheeses","880","mg/kg","33  228"
"01.8.2","Dried whey and whey products, excluding whey cheeses","4,400","mg/kg","33"
"02.2.1","Butter","880","mg/kg","33  34"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","2,200","mg/kg","33  530"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","2,200","mg/kg","33"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","1,500","mg/kg","33"
"03.0","Edible ices, including sherbet and sorbet","7,500","mg/kg","33"
"04.1.2.3","Fruit in vinegar, oil, or brine","2,200","mg/kg","33"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","1,100","mg/kg","33"
"04.1.2.7","Candied fruit","10","mg/kg","33"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","350","mg/kg","33"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","1,500","mg/kg","33"
"04.1.2.10","Fermented fruit products","2,200","mg/kg","33"
"04.1.2.11","Fruit fillings for pastries","1,500","mg/kg","33"
"04.2.1.2","Surface-treated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","1,760","mg/kg","33  16"
"04.2.1.3","Peeled, cut or shredded fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","5,600","mg/kg","33  76"
"04.2.2.1","Frozen vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","5,000","mg/kg","33  76"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","5,000","mg/kg","33  76"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","2,200","mg/kg","33"
