
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","80","mg/kg","406  477"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","100","mg/kg","477"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","100","mg/kg","477"
"03.0","Edible ices, including sherbet and sorbet","100","mg/kg","477"
"04.1.2.3","Fruit in vinegar, oil, or brine","160","mg/kg","144"
"04.1.2.4","Canned or bottled (pasteurized) fruit","200","mg/kg","XS319  477"
"04.1.2.5","Jams, jellies, marmelades","200","mg/kg","477"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","200","mg/kg","477"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","200","mg/kg","477"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","100","mg/kg","477"
"04.1.2.10","Fermented fruit products","160","mg/kg","477"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","500","mg/kg","348  144"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","160","mg/kg","144"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","160","mg/kg","144  477"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","160","mg/kg","477"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","200","mg/kg","477"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","200","mg/kg","144"
"04.2.2.8","Cooked or fried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","160","mg/kg","345  144  477"
"05.1.1","Cocoa mixes (powders) and cocoa mass/cake","100","mg/kg","XS141  97  161"
"05.1.2","Cocoa mixes (syrups)","80","mg/kg","477"
"05.1.3","Cocoa-based spreads, including fillings","200","mg/kg","XS86  477"
"05.1.4","Cocoa and chocolate products","500","mg/kg","477"
"05.1.5","Imitation chocolate, chocolate substitute products","500","mg/kg","477"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","500","mg/kg","163  XS309R  477"
"05.3","Chewing gum","2,500","mg/kg","477"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","500","mg/kg","477"
"06.3","Breakfast cereals, including rolled oats","100","mg/kg","477"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","100","mg/kg","477"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","170","mg/kg","165"
"09.2.4.1","Cooked fish and fish products","500","mg/kg","322  477"
"09.3.1","Fish and fish products, including mollusks, crustaceans, and echinoderms, marinated and/or in jelly","160","mg/kg","144"
"09.3.2","Fish and fish products, including mollusks, crustaceans, and echinoderms, pickled and/or in brine","160","mg/kg","144"
"09.3.4","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms (e.g. fish paste), excluding products of food categories 09.3.1 - 09.3.3","160","mg/kg","144"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","200","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70  144"
"10.4","Egg-based desserts (e.g. custard)","100","mg/kg","144"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","300","mg/kg","159"
"11.6","Table-top sweeteners, including those containing high-intensity sweeteners","","GMP",""
"12.2.2","Seasonings and condiments","1,500","mg/kg","161"
"12.3","Vinegars","300","mg/kg",""
"12.4","Mustards","320","mg/kg",""
"12.5","Soups and broths","110","mg/kg","XS117  477"
"12.6","Sauces and like products","160","mg/kg","XS302"
"12.7","Salads (e.g. macaroni salad, potato salad) and sandwich spreads excluding cocoa- and nut-based spreads of food categories 04.2.2.5 and 05.1.3","200","mg/kg","166  477"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","200","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","300","mg/kg",""
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","200","mg/kg",""
"13.6","Food supplements","1,200","mg/kg",""
"14.1.3.1","Fruit nectar","80","mg/kg",""
"14.1.3.2","Vegetable nectar","80","mg/kg","477"
"14.1.3.3","Concentrates for fruit nectar","80","mg/kg","127"
"14.1.4.1","Carbonated water-based flavoured drinks","300","mg/kg","161"
"14.1.4.2","Non-carbonated water-based flavoured drinks, including punches and ades","300","mg/kg","161"
"14.1.4.3","Concentrates (liquid or solid) for water-based flavoured drinks","300","mg/kg","127  161"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","200","mg/kg","160"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","80","mg/kg",""
"15.0","Ready-to-eat savouries","100","mg/kg",""
"12.9.1","Fermented soybean paste (e.g., miso)","200","mg/kg",""
"12.9.2.1","Fermented soybean sauce","500","mg/kg",""


(c) FAO and WHO 2009

