
"Number","Food Category","Max Level","Units","Notes"
"01.6.1","Unripened cheese","40","mg/kg","80  486  XS273  XS275  3"
"01.6.2","Ripened cheese","40","mg/kg","80  XS277  XS276  XS208  XS274  XS278  3"
"01.6.4","Processed cheese","40","mg/kg","80  3"
"01.6.5","Cheese analogues","40","mg/kg","80  3"
"01.6.6","Whey protein cheese","40","mg/kg","80  3"
"08.2.1.2","Cured (including salted) and dried non-heat treated processed meat, poultry, and game products in whole pieces or cuts","6","mg/kg",""
"08.3.1.2","Cured (including salted) and dried non-heat treated processed comminuted meat, poultry, and game products","20","mg/kg","81  3"


(c) FAO and WHO 2009

