
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","20","mg/kg","478"
"01.3.2","Beverage whiteners","65","mg/kg","XS250  XS252  201  478"
"01.4.4","Cream analogues","33","mg/kg","68  478"
"01.5.2","Milk and cream powder analogues","65","mg/kg","XS251  408  478"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","100","mg/kg","478"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","100","mg/kg","478"
"03.0","Edible ices, including sherbet and sorbet","100","mg/kg","478"
"04.1.2.1","Frozen fruit","100","mg/kg","358  478"
"04.1.2.3","Fruit in vinegar, oil, or brine","100","mg/kg","144"
"04.1.2.4","Canned or bottled (pasteurized) fruit","33","mg/kg","XS319  478"
"04.1.2.5","Jams, jellies, marmelades","70","mg/kg","478"
"04.1.2.6","Fruit-based spreads (e.g. chutney) excluding products of food category 04.1.2.5","70","mg/kg","478"
"04.1.2.7","Candied fruit","100","mg/kg","478"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","100","mg/kg","478"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","100","mg/kg","478"
"04.1.2.10","Fermented fruit products","65","mg/kg","478"
"04.1.2.11","Fruit fillings for pastries","100","mg/kg","478"
"04.1.2.12","Cooked fruit","65","mg/kg","478"
"04.2.2.2","Dried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","33","mg/kg","348  144"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","10","mg/kg","144"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","33","mg/kg","478"
"04.2.2.5","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed purees and spreads (e.g., peanut butter)","33","mg/kg","478"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","33","mg/kg","478"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","33","mg/kg","144"
"04.2.2.8","Cooked or fried vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","33","mg/kg","345  144  478"
"05.1.2","Cocoa mixes (syrups)","33","mg/kg","97  478"
"05.1.3","Cocoa-based spreads, including fillings","100","mg/kg","XS86  478"
"05.1.4","Cocoa and chocolate products","80","mg/kg","XS87  478"
"05.1.5","Imitation chocolate, chocolate substitute products","100","mg/kg","478"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","330","mg/kg","158  XS309R  478"
"05.3","Chewing gum","1,000","mg/kg","478"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","100","mg/kg","478"
"06.3","Breakfast cereals, including rolled oats","160","mg/kg","478"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","33","mg/kg","478"
"07.1","Bread and ordinary bakery wares","70","mg/kg","161"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","80","mg/kg","165  478"
"09.3","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms","10","mg/kg","XS291  144"
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","10","mg/kg","XS90  XS119  XS3  XS94  XS37  XS70  144"
"10.4","Egg-based desserts (e.g. custard)","100","mg/kg","478"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","70","mg/kg","159"
"11.6","Table-top sweeteners, including those containing high-intensity sweeteners","","GMP",""
"12.2","Herbs, spices, seasonings and condiments (e.g. seasoning for instant noodles)","32","mg/kg","XS326  XS327  XS328  161"
"12.3","Vinegars","12","mg/kg","277  478"
"12.4","Mustards","12","mg/kg",""
"12.5","Soups and broths","20","mg/kg","XS117  478"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","65","mg/kg",""
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","70","mg/kg",""
"12.6.3","Mixes for sauces and gravies","12","mg/kg",""
"12.6.4","Clear sauces (e.g. fish sauce)","12","mg/kg","XS302"
"12.7","Salads (e.g. macaroni salad, potato salad) and sandwich spreads excluding cocoa- and nut-based spreads of food categories 04.2.2.5 and 05.1.3","33","mg/kg","166  478"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","33","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","33","mg/kg",""
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","65","mg/kg",""
"13.6","Food supplements","90","mg/kg",""
"14.1.3.2","Vegetable nectar","65","mg/kg","478"
"14.1.3.4","Concentrates for vegetable nectar","65","mg/kg","127  478"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","33","mg/kg","478"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","50","mg/kg","160"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","33","mg/kg",""
"15.0","Ready-to-eat savouries","32","mg/kg",""


(c) FAO and WHO 2009

