
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","3,000","mg/kg",""
"01.3.2","Beverage whiteners","4,000","mg/kg","XS250  XS252"
"01.4.1","Pasteurized cream (plain)","1,000","mg/kg",""
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","1,000","mg/kg",""
"01.4.3","Clotted cream (plain)","1,000","mg/kg",""
"01.4.4","Cream analogues","5,000","mg/kg",""
"01.5.2","Milk and cream powder analogues","4,000","mg/kg","XS251"
"01.6.1","Unripened cheese","80","mg/kg","XS221  XS273  XS275  38"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","3,000","mg/kg",""
"02.1.2","Vegetable oils and fats","5,000","mg/kg","XS19  XS210  XS33  102"
"02.1.3","Lard, tallow, fish oil, and other animal fats","5,000","mg/kg","XS19  XS211  102"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","10,000","mg/kg","360  364"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","5,000","mg/kg","102"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","3,000","mg/kg","102"
"03.0","Edible ices, including sherbet and sorbet","1,000","mg/kg",""
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","1,000","mg/kg","154"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","3,000","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","3,000","mg/kg",""
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","3,000","mg/kg",""
"05.1.2","Cocoa mixes (syrups)","500","mg/kg",""
"05.1.3","Cocoa-based spreads, including fillings","1,000","mg/kg","XS86"
"05.1.4","Cocoa and chocolate products","5,000","mg/kg","101"
"05.1.5","Imitation chocolate, chocolate substitute products","5,000","mg/kg",""
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","1,000","mg/kg","XS309R"
"05.3","Chewing gum","5,000","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","3,000","mg/kg",""
"06.4.2","Dried pastas and noodles and like products","5,000","mg/kg",""
"06.4.3","Pre-cooked pastas and noodles and like products","5,000","mg/kg","153"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","3,000","mg/kg",""
"06.6","Batters (e.g. for breading or batters for fish or poultry)","5,000","mg/kg","2"
"07.1.1","Breads and rolls","3,000","mg/kg",""
"07.1.2","Crackers, excluding sweet crackers","5,000","mg/kg","11"
"07.1.3","Other ordinary bakery products (e.g. bagels, pita, English muffins)","3,000","mg/kg","11"
"07.1.4","Bread-type products, including bread stuffing and bread crumbs","3,000","mg/kg","11"
"07.1.5","Steamed breads and buns","3,000","mg/kg","11"
"07.1.6","Mixes for bread and ordinary bakery wares","3,000","mg/kg","11"
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","3,000","mg/kg",""
"08.2","Processed meat, poultry, and game products in whole pieces or cuts","5,000","mg/kg","XS96  XS97"
"08.3","Processed comminuted meat, poultry, and game products","5,000","mg/kg","XS89  XS98  XS88"
"08.4","Edible casings (e.g. sausage casings)","1,500","mg/kg",""
"10.4","Egg-based desserts (e.g. custard)","3,000","mg/kg",""
"12.1.1","Salt","10","mg/kg",""
"12.2.1","Herbs and spices","2,000","mg/kg","XS326  XS327  XS328"
"12.2.2","Seasonings and condiments","5,000","mg/kg",""
"12.5","Soups and broths","1,000","mg/kg",""
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","3,000","mg/kg",""
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","5,000","mg/kg",""
"12.6.3","Mixes for sauces and gravies","5,000","mg/kg","127"
"12.6.4","Clear sauces (e.g. fish sauce)","5,000","mg/kg","XS302"
"12.7","Salads (e.g. macaroni salad, potato salad) and sandwich spreads excluding cocoa- and nut-based spreads of food categories 04.2.2.5 and 05.1.3","2,000","mg/kg",""
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","1,000","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","1,000","mg/kg",""
"13.6","Food supplements","25,000","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","500","mg/kg","127"
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","120","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","120","mg/kg",""


(c) FAO and WHO 2009

