
"Number","Food Category","Max Level","Units","Notes"
"01.6.4","Processed cheese","500","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","5,000","mg/kg","XS243"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","4,000","mg/kg","359"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","10,000","mg/kg",""
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","2,000","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","5,000","mg/kg",""
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","2,000","mg/kg",""
"04.1.2.11","Fruit fillings for pastries","2,000","mg/kg",""
"05.1.1","Cocoa mixes (powders) and cocoa mass/cake","5,000","mg/kg","97"
"05.1.4","Cocoa and chocolate products","5,000","mg/kg","101"
"05.1.5","Imitation chocolate, chocolate substitute products","3,000","mg/kg","366"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","3,000","mg/kg","XS309R"
"05.3","Chewing gum","500","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","5,000","mg/kg",""
"10.2","Egg products","1,000","mg/kg",""
"10.4","Egg-based desserts (e.g. custard)","1,000","mg/kg",""
"01.5.2","Milk and cream powder analogues","5,000","mg/kg","XS251"
"06.4.3","Pre-cooked pastas and noodles and like products","500","mg/kg","194"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","5,000","mg/kg",""
"08.4","Edible casings (e.g. sausage casings)","5,000","mg/kg","365"
"09.2.4.1","Cooked fish and fish products","1,000","mg/kg","412"
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","5,000","mg/kg",""
"12.6.3","Mixes for sauces and gravies","5,000","mg/kg","127"


(c) FAO and WHO 2009

