
"Number","Food Category","Max Level","Units","Notes"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP","236"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS315  XS312  XS292  XS165  XS36  XS190  XS95  XS191  XS92"
"10.2.1","Liquid egg products","","GMP",""
"10.2.2","Frozen egg products","","GMP",""
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","","GMP","258"
"01.2.1.1","Fermented milks (plain), not heat-treated after fermentation","","GMP","234  235"
"01.2.2","Renneted milk (plain)","","GMP",""
"09.2.4.1","Cooked fish and fish products","","GMP","241"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","41"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP","234"
"01.1.2","Other fluid milk (plain)","","GMP","407  438"


(c) FAO and WHO 2009

