
"Number","Food Category","Max Level","Units","Notes"
"02.2.1","Butter","20","mg/kg","8"
"01.1.4","Flavoured fluid milk drinks","20","mg/kg","8  52"
"05.1.4","Cocoa and chocolate products","50","mg/kg","8  183"
"05.1.5","Imitation chocolate, chocolate substitute products","50","mg/kg","8"
"05.3","Chewing gum","300","mg/kg","8"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","80","mg/kg","8"
"13.6","Food supplements","200","mg/kg","8  539"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","30","mg/kg","8  127"
"14.2.4","Wines (other than grape)","20","mg/kg","8"
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","30","mg/kg","8"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","30","mg/kg","8"
"05.1.3","Cocoa-based spreads, including fillings","50","mg/kg","8  XS86"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","10","mg/kg","8  XS236  XS222  XS189  XS244  XS167  382"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","200","mg/kg","8"
"02.1.1","Butter oil, anhydrous milkfat, ghee","10","mg/kg","8  508"
"02.1.3","Lard, tallow, fish oil, and other animal fats","10","mg/kg","8  XS329  512"
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","100","mg/kg","8"
"01.2.1","Fermented milks (plain)","10","mg/kg","8  XS210  XS33  509  508"
"02.1.2","Vegetable oils and fats","10","mg/kg","8  XS210  XS33  509  508"


(c) FAO and WHO 2009

