
"Number","Food Category","Max Level","Units","Notes"
"01.4.1","Pasteurized cream (plain)","","GMP","236"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","","GMP",""
"02.1.3","Lard, tallow, fish oil, and other animal fats","","GMP","525"
"04.1.1.2","Surface-treated fresh fruit","","GMP","453"
"04.2.1.2","Surface-treated fresh vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","","GMP","455"
"06.4.1","Fresh pastas and noodles and like products","","GMP",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"08.1.1","Fresh meat, poultry, and game, whole pieces or cuts","","GMP","326  16"
"08.1.2","Fresh meat, poultry, and game, comminuted","","GMP","281"
"10.2.2","Frozen egg products","","GMP",""
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","","GMP","258"
"12.1.2","Salt Substitutes","","GMP",""
"13.1.1","Infant formulae","4,000","mg/kg","72"
"13.1.2","Follow-up formulae","4,000","mg/kg","72"
"13.1.3","Formulae for special medical purposes for infants","4,000","mg/kg","72"
"13.2","Complementary foods for infants and young children","5,000","mg/kg","275  268"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP","234"
"10.2.1","Liquid egg products","","GMP",""
"01.2.2","Renneted milk (plain)","","GMP",""
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","41"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.4.1","Cooked fish and fish products","","GMP","241"
"09.2.4.3","Fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","41"
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  XS311  300"
"01.2.1.1","Fermented milks (plain), not heat-treated after fermentation","","GMP","234  235"
"01.1.2","Other fluid milk (plain)","","GMP","410"
"02.1.1","Butter oil, anhydrous milkfat, ghee","","GMP","507"


(c) FAO and WHO 2009

