
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","50","mg/kg","52"
"05.3","Chewing gum","100","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","100","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","100","mg/kg",""
"09.4","Fully preserved, including canned or fermented fish and fish products, including mollusks, crustaceans, and echinoderms","30","mg/kg","XS90  XS119  XS3  XS94  XS70  435"
"06.4.3","Pre-cooked pastas and noodles and like products","100","mg/kg","194"


(c) FAO and WHO 2009

