
"Number","Food Category","Max Level","Units","Notes"
"01.2.1.2","Fermented milks (plain), heat-treated after fermentation","","GMP",""
"01.6.6","Whey protein cheese","","GMP",""
"04.2.2.1","Frozen vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweeds, and nuts and seeds","","GMP","265"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","","GMP",""
"06.4.2","Dried pastas and noodles and like products","","GMP","256"
"12.1.2","Salt Substitutes","","GMP",""
"13.2","Complementary foods for infants and young children","","GMP","239"
"14.1.2.1","Fruit juice","","GMP","115"
"14.1.2.2","Vegetable juice","","GMP",""
"14.1.2.3","Concentrates for fruit juice","","GMP","115  127"
"14.1.2.4","Concentrates for vegetable juice","","GMP",""
"14.1.3.1","Fruit nectar","","GMP",""
"14.1.3.2","Vegetable nectar","","GMP",""
"14.1.3.3","Concentrates for fruit nectar","","GMP","127"
"14.1.3.4","Concentrates for vegetable nectar","","GMP",""
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","","GMP","160"
"09.2.2","Frozen battered fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS166  41"
"09.2.3","Frozen minced and creamed fish products, including mollusks, crustaceans, and echinoderms","","GMP","16"
"09.2.4","Cooked and/or fried fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","","GMP","XS236  XS222  XS189  XS244  XS167  XS311"


(c) FAO and WHO 2009

