
"Number","Food Category","Max Level","Units","Notes"
"01.4.2","Sterilized and UHT creams, whipping and whipped creams, and reduced fat creams (plain)","5,000","mg/kg",""
"01.4.4","Cream analogues","10,000","mg/kg",""
"01.5.1","Milk powder and cream powder (plain)","10,000","mg/kg","XS290  XS207  536"
"01.5.2","Milk and cream powder analogues","5,000","mg/kg","XS251  350"
"01.6.4","Processed cheese","3,000","mg/kg",""
"01.6.5","Cheese analogues","10,000","mg/kg",""
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","5,000","mg/kg",""
"02.2.2","Fat spreads, dairy fat spreads and blended spreads","10,000","mg/kg","360"
"02.3","Fat emulsions mainly of type oil-in-water, including mixed and/or flavoured products based on fat emulsions","5,000","mg/kg","363  102"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","5,000","mg/kg",""
"03.0","Edible ices, including sherbet and sorbet","5,000","mg/kg",""
"04.1.1.2","Surface-treated fresh fruit","1,500","mg/kg","454"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","1,500","mg/kg","XS314R"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","5,000","mg/kg",""
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","5,000","mg/kg","XS259R  XS38  XS308R  XS321  XS57  536"
"05.1.1","Cocoa mixes (powders) and cocoa mass/cake","10,000","mg/kg","XS141  97"
"05.1.2","Cocoa mixes (syrups)","10,000","mg/kg",""
"05.1.3","Cocoa-based spreads, including fillings","10,000","mg/kg","XS86"
"05.1.5","Imitation chocolate, chocolate substitute products","6,000","mg/kg",""
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","5,000","mg/kg","XS309R"
"05.3","Chewing gum","12,000","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","5,000","mg/kg","387"
"06.3","Breakfast cereals, including rolled oats","10,000","mg/kg",""
"06.4.1","Fresh pastas and noodles and like products","2,000","mg/kg","370"
"06.4.2","Dried pastas and noodles and like products","4,000","mg/kg","211"
"06.4.3","Pre-cooked pastas and noodles and like products","2,000","mg/kg","194"
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","5,000","mg/kg",""
"06.6","Batters (e.g. for breading or batters for fish or poultry)","10,000","mg/kg",""
"06.7","Pre-cooked or processed rice products, including rice cakes (Oriental type only)","10,000","mg/kg",""
"06.8.1","Soybean-based beverages","20,000","mg/kg",""
"07.1","Bread and ordinary bakery wares","3,000","mg/kg",""
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","10,000","mg/kg",""
"08.2.2","Heat-treated processed meat, poultry, and game products in whole pieces or cuts","5,000","mg/kg","XS96  XS97  15"
"08.3.2","Heat-treated processed comminuted meat, poultry, and game products","5,000","mg/kg","XS89  XS98  XS88  373  15"
"09.2.4.1","Cooked fish and fish products","4,500","mg/kg","241"
"10.4","Egg-based desserts (e.g. custard)","5,000","mg/kg",""
"12.2.1","Herbs and spices","2,000","mg/kg","XS326  XS327  XS328  422"
"12.2.2","Seasonings and condiments","20,000","mg/kg","424  423"
"12.5","Soups and broths","2,000","mg/kg",""
"12.6.1","Emulsified sauces and dips (e.g. mayonnaise, salad dressing, onion dip)","2,000","mg/kg","426"
"12.6.2","Non-emulsified sauces (e.g. ketchup, cheese sauce, cream sauce, brown gravy)","10,000","mg/kg","537"
"12.6.3","Mixes for sauces and gravies","10,000","mg/kg","127"
"12.6.4","Clear sauces (e.g. fish sauce)","10,000","mg/kg","XS302"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","5,000","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","5,000","mg/kg",""
"13.6","Food supplements","20,000","mg/kg",""
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","200","mg/kg","219"
"14.1.5","Coffee, coffee substitutes, tea, herbal infusions, and other hot cereal and grain beverages, excluding cocoa","1,000","mg/kg","176"
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","5,000","mg/kg","431"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","5,000","mg/kg","536"
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","5,000","mg/kg","433"
"01.1.2","Other fluid milk (plain)","1,000","mg/kg","410"
"01.1.4","Flavoured fluid milk drinks","5,000","mg/kg",""
"01.3.2","Beverage whiteners","20,000","mg/kg","XS250  XS252"


(c) FAO and WHO 2009

