
"Number","Food Category","Max Level","Units","Notes"
"01.1.4","Flavoured fluid milk drinks","300","mg/kg","52  161"
"01.6.2.2","Rind of ripened cheese","100","mg/kg",""
"01.6.4","Processed cheese","100","mg/kg","161"
"01.6.5","Cheese analogues","100","mg/kg","3"
"01.7","Dairy-based desserts (e.g. pudding, fruit or flavoured yoghurt)","300","mg/kg","161"
"02.4","Fat-based desserts excluding dairy-based dessert products of food category 01.7","300","mg/kg","161"
"03.0","Edible ices, including sherbet and sorbet","150","mg/kg",""
"04.1.2.5","Jams, jellies, marmelades","100","mg/kg","161"
"04.1.2.7","Candied fruit","300","mg/kg","161"
"04.1.2.8","Fruit preparations, including pulp, purees, fruit toppings and coconut milk","300","mg/kg","182  161"
"04.1.2.9","Fruit-based desserts, including fruit-flavoured water-based desserts","300","mg/kg","161"
"04.1.2.11","Fruit fillings for pastries","300","mg/kg","161"
"04.2.2.3","Vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds in vinegar, oil, brine, or soybean sauce","300","mg/kg","161"
"04.2.2.4","Canned or bottled (pasteurized) or retort pouch vegetables (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), and seaweeds","200","mg/kg","161"
"04.2.2.6","Vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera), seaweed, and nut and seed pulps and preparations (e.g. vegetable desserts and sauces, candied vegetables) other than food category 04.2.2.5","200","mg/kg","92  161"
"05.1.3","Cocoa-based spreads, including fillings","300","mg/kg","XS86"
"05.1.4","Cocoa and chocolate products","300","mg/kg","183"
"05.1.5","Imitation chocolate, chocolate substitute products","300","mg/kg",""
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","300","mg/kg","XS309R"
"05.3","Chewing gum","300","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","300","mg/kg",""
"06.3","Breakfast cereals, including rolled oats","300","mg/kg",""
"06.5","Cereal and starch based desserts (e.g. rice pudding, tapioca pudding)","300","mg/kg",""
"07.1.2","Crackers, excluding sweet crackers","300","mg/kg","161"
"07.1.3","Other ordinary bakery products (e.g. bagels, pita, English muffins)","300","mg/kg","161"
"08.3.2","Heat-treated processed comminuted meat, poultry, and game products","25","mg/kg","XS89  XS98  XS88  161"
"08.4","Edible casings (e.g. sausage casings)","300","mg/kg","16"
"09.2.1","Frozen fish, fish fillets, and fish products, including mollusks, crustaceans, and echinoderms","300","mg/kg","XS315  XS312  XS292  XS165  XS36  XS190  XS95  XS191  XS92  95"
"09.2.4.1","Cooked fish and fish products","300","mg/kg","95"
"09.2.4.2","Cooked mollusks, crustaceans, and echinoderms","250","mg/kg",""
"09.2.5","Smoked, dried, fermented, and/or salted fish and fish products, including mollusks, crustaceans, and echinoderms","300","mg/kg","XS236  XS222  XS189  XS244  XS167  382"
"09.3.3","Salmon substitutes, caviar, and other fish roe products","300","mg/kg","XS291"
"09.3.4","Semi-preserved fish and fish products, including mollusks, crustaceans, and echinoderms (e.g. fish paste), excluding products of food categories 09.3.1 - 09.3.3","300","mg/kg",""
"10.1","Fresh eggs","100","mg/kg","4"
"10.4","Egg-based desserts (e.g. custard)","300","mg/kg","161"
"11.4","Other sugars and syrups (e.g. xylose, maple syrup, sugar toppings)","300","mg/kg","161"
"12.2.2","Seasonings and condiments","300","mg/kg",""
"12.4","Mustards","300","mg/kg",""
"12.5","Soups and broths","300","mg/kg","337  161"
"12.6","Sauces and like products","300","mg/kg","XS302"
"13.3","Dietetic foods intended for special medical purposes (excluding products of food category 13.1)","50","mg/kg",""
"13.4","Dietetic formulae for slimming purposes and weight reduction","50","mg/kg",""
"13.5","Dietetic foods (e.g. supplementary foods for dietary use) excluding products of food categories 13.1 - 13.4 and 13.6","300","mg/kg",""
"13.6","Food supplements","300","mg/kg",""
"14.2.2","Cider and perry","200","mg/kg",""
"14.2.4","Wines (other than grape)","200","mg/kg",""
"14.2.6","Distilled spirituous beverages containing more than 15% alcohol","300","mg/kg",""
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","200","mg/kg",""
"15.1","Snacks - potato, cereal, flour or starch based (from roots and tubers, pulses and legumes)","200","mg/kg","161"
"15.2","Processed nuts, including coated nuts and nut mixtures (with e.g. dried fruit)","100","mg/kg",""
"07.2","Fine bakery wares (sweet, salty, savoury) and mixes","300","mg/kg","161"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","150","mg/kg","127"


(c) FAO and WHO 2009

