
"Number","Food Category","Max Level","Units","Notes"
"04.1.2.7","Candied fruit","200","mg/kg","54"
"04.2.2.7","Fermented vegetable (including mushrooms and fungi, roots and tubers, pulses and legumes, and aloe vera) and seaweed products, excluding fermented soybean products of food categories 06.8.6, 06.8.7, 12.9.1, 12.9.2.1 and 12.9.2.3","30","mg/kg",""
"05.3","Chewing gum","50","mg/kg",""
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","100","mg/kg",""
"08.2","Processed meat, poultry, and game products in whole pieces or cuts","30","mg/kg","XS96  XS97  4  16"
"08.3","Processed comminuted meat, poultry, and game products","30","mg/kg","XS88  4  290"


(c) FAO and WHO 2009

