
"Number","Food Category","Max Level","Units","Notes"
"05.1.3","Cocoa-based spreads, including fillings","95","mg/kg","XS86  39"
"05.1.4","Cocoa and chocolate products","95","mg/kg","183  39"
"05.1.5","Imitation chocolate, chocolate substitute products","95","mg/kg","39"
"05.3","Chewing gum","150","mg/kg","39"
"05.4","Decorations (e.g. for fine bakery wares), toppings (non-fruit) and sweet sauces","100","mg/kg","39"
"13.6","Food supplements","100","mg/kg","539  39"
"14.2.2","Cider and perry","10","mg/kg","39"
"14.2.4","Wines (other than grape)","10","mg/kg","39"
"14.2.7","Aromatized alcoholic beverages (e.g. beer, wine and spirituous cooler-type beverages, low alcoholic refreshers)","10","mg/kg","39"
"05.2","Confectionery including hard and soft candy, nougats, etc. other than food categories 05.1, 05.3 and 05.4","100","mg/kg","39"
"14.1.4","Water-based flavoured drinks, including ""sport,"" ""energy,"" or ""electrolyte"" drinks and particulated drinks","30","mg/kg","39  127"


(c) FAO and WHO 2009

